	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
13029	1	Streak Agent(1)	AD 5_6_plus_5_7	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable8.R0C0	1	AD JCommTable8.R0C0	1	Single-KC	1	0.3994480811647976
13030	2	Streak Agent(1)	AD 5_6_plus_5_7	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R1C0	1	AD JCommTable4.R1C0	1	Single-KC	2	0.31997095380106627
13031	3	Streak Agent(1)	AD 5_6_plus_5_7	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R0C0	1	AD JCommTable4.R0C0	1	Single-KC	3	0.34625111135332654
13032	4	Streak Agent(1)	AD 5_6_plus_5_7	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R1C0	1	AD JCommTable5.R1C0	1	Single-KC	4	0.39953508583889535
13033	5	Streak Agent(1)	AD 5_6_plus_5_7	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R0C0	1	AD JCommTable5.R0C0	1	Single-KC	5	0.313072217051274
13034	6	Streak Agent(1)	AD 5_6_plus_5_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	1	AD JCommTable6.R1C0	1	Single-KC	6	0.24042140216081614
13035	7	Streak Agent(1)	AD 5_6_plus_5_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	1	AD JCommTable6.R0C0	1	Single-KC	7	0.2490278493660705
13036	8	Streak Agent(1)	AD 5_6_plus_5_7	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	1	AD done	1	Single-KC	8	0.33796221832822226
13037	9	Streak Agent(1)	AD 5_6_plus_1_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	2	AD JCommTable6.R1C0	2	Single-KC	9	0.2639352693027405
13038	10	Streak Agent(1)	AD 5_6_plus_1_7	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable8.R0C0	2	AD JCommTable8.R0C0	2	Single-KC	10	0.5643651211071046
13039	11	Streak Agent(1)	AD 5_6_plus_1_7	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	done	2	AD done	2	Single-KC	11	0.4936687645833876
13040	12	Streak Agent(1)	AD 5_6_plus_1_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	3	AD JCommTable6.R1C0	3	Single-KC	12	0.28887425331672756
13041	13	Streak Agent(1)	AD 5_6_plus_1_7	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R1C0	2	AD JCommTable4.R1C0	2	Single-KC	13	0.40711692363188884
13042	14	Streak Agent(1)	AD 5_6_plus_1_7	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	done	3	AD done	3	Single-KC	14	0.6506132549395266
13043	15	Streak Agent(1)	AD 5_6_plus_1_7	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R0C0	2	AD JCommTable4.R0C0	2	Single-KC	15	0.40968451867871236
13044	16	Streak Agent(1)	AD 5_6_plus_1_7	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable5.R1C0	2	AD JCommTable5.R1C0	2	Single-KC	16	0.45121454024466745
13045	17	Streak Agent(1)	AD 5_6_plus_1_7	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable5.R0C0	2	AD JCommTable5.R0C0	2	Single-KC	17	0.3598809596678359
13046	18	Streak Agent(1)	AD 5_6_plus_1_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R0C0	2	AD JCommTable6.R0C0	2	Single-KC	18	0.2739422509812702
13047	19	Streak Agent(1)	AD 5_6_plus_1_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R1C0	4	AD JCommTable6.R1C0	4	Single-KC	19	0.3151607322249726
13048	20	Streak Agent(1)	AD 5_6_plus_1_7	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	done	4	AD done	4	Single-KC	20	0.7805369413229787
13049	21	Streak Agent(1)	AD 5_3_plus_9_8	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable8.R0C0	3	AD JCommTable8.R0C0	3	Single-KC	21	0.7161734800945962
13050	22	Streak Agent(1)	AD 5_3_plus_9_8	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable4.R1C0	3	AD JCommTable4.R1C0	3	Single-KC	22	0.5005279319681747
13051	23	Streak Agent(1)	AD 5_3_plus_9_8	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable4.R0C0	3	AD JCommTable4.R0C0	3	Single-KC	23	0.4762727412669527
13052	24	Streak Agent(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R1C0	5	AD JCommTable6.R1C0	5	Single-KC	24	0.34268650833487
13053	25	Streak Agent(1)	AD 5_3_plus_9_8	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable5.R1C0	3	AD JCommTable5.R1C0	3	Single-KC	25	0.5039682452431767
13054	26	Streak Agent(1)	AD 5_3_plus_9_8	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable5.R0C0	3	AD JCommTable5.R0C0	3	Single-KC	26	0.4095160343748479
13055	27	Streak Agent(1)	AD 5_3_plus_9_8	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable6.R0C0	3	AD JCommTable6.R0C0	3	Single-KC	27	0.30035233525183447
13056	28	Streak Agent(1)	AD 5_3_plus_9_8	1	done	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	done	5	AD done	5	Single-KC	28	0.8716760996364495
13057	29	Streak Agent(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable6.R1C0	6	AD JCommTable6.R1C0	6	Single-KC	29	0.3713128919585073
13058	30	Streak Agent(1)	AD 5_3_plus_9_8	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	6	AD done	6	Single-KC	30	0.928436883437705
13059	31	Streak Agent(1)	AD 5_9_plus_3_7	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable8.R0C0	4	AD JCommTable8.R0C0	4	Single-KC	31	0.8309284206651785
13060	32	Streak Agent(1)	AD 5_9_plus_3_7	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable4.R1C0	4	AD JCommTable4.R1C0	4	Single-KC	32	0.5939021025414774
13061	33	Streak Agent(1)	AD 5_9_plus_3_7	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable4.R0C0	4	AD JCommTable4.R0C0	4	Single-KC	33	0.5437153385302237
13062	34	Streak Agent(1)	AD 5_9_plus_3_7	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable5.R1C0	4	AD JCommTable5.R1C0	4	Single-KC	34	0.556633744872409
13063	35	Streak Agent(1)	AD 5_9_plus_3_7	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R1C0	7	AD JCommTable6.R1C0	7	Single-KC	35	0.40087221052315547
13064	36	Streak Agent(1)	AD 5_9_plus_3_7	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable5.R0C0	4	AD JCommTable5.R0C0	4	Single-KC	36	0.46106597995309606
13065	37	Streak Agent(1)	AD 5_9_plus_3_7	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable6.R0C0	4	AD JCommTable6.R0C0	4	Single-KC	37	0.3281577699997058
13066	38	Streak Agent(1)	AD 5_9_plus_3_7	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable6.R1C0	8	AD JCommTable6.R1C0	8	Single-KC	38	0.4311708230538335
13067	39	Streak Agent(1)	AD 5_9_plus_3_7	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	7	AD done	7	Single-KC	39	0.9612082993050124
13068	40	Streak Agent(1)	AD 4_9_plus_3_4	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable8.R0C0	5	AD JCommTable8.R0C0	5	Single-KC	40	0.9054140787941074
13069	41	Streak Agent(1)	AD 4_9_plus_3_4	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable4.R1C0	5	AD JCommTable4.R1C0	5	Single-KC	41	0.680947326768931
13070	42	Streak Agent(1)	AD 4_9_plus_3_4	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable4.R0C0	5	AD JCommTable4.R0C0	5	Single-KC	42	0.6095921820604581
13071	43	Streak Agent(1)	AD 4_9_plus_3_4	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable5.R1C0	5	AD JCommTable5.R1C0	5	Single-KC	43	0.6080562965557293
13072	44	Streak Agent(1)	AD 4_9_plus_3_4	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable5.R0C0	5	AD JCommTable5.R0C0	5	Single-KC	44	0.5134623535026941
13073	45	Streak Agent(1)	AD 4_9_plus_3_4	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable6.R0C0	5	AD JCommTable6.R0C0	5	Single-KC	45	0.35722304060626975
13074	46	Streak Agent(1)	AD 4_9_plus_3_4	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable6.R1C0	9	AD JCommTable6.R1C0	9	Single-KC	46	0.4619935979287875
13075	47	Streak Agent(1)	AD 4_9_plus_3_4	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	8	AD done	8	Single-KC	47	0.9793069460152262
13076	48	Streak Agent(1)	AS 3_8_plus_7_8	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable8.R0C0	6	AS JCommTable8.R0C0	1	Single-KC	48	1.9938234769643712e-15
13077	49	Streak Agent(1)	AS 3_8_plus_7_8	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable4.R1C0	6	AS JCommTable4.R1C0	1	Single-KC	49	2.112528535534125e-12
13078	50	Streak Agent(1)	AS 3_8_plus_7_8	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	JCommTable6.R1C0	10	AS JCommTable6.R1C0	1	Single-KC	50	0.22192974220123904
13079	51	Streak Agent(1)	AS 3_8_plus_7_8	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	JCommTable6.R0C0	6	AS JCommTable6.R0C0	1	Single-KC	51	0.21291523407387822
13080	52	Streak Agent(1)	AS 3_8_plus_7_8	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	done	9	AS done	1	Single-KC	52	0.6337653260299254
13081	53	Streak Agent(1)	M 3_4_times_4_9	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R0C0	7	M  JCommTable6.R0C0	1	Single-KC	53	0.4898071951462113
13082	54	Streak Agent(1)	M 3_4_times_4_9	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R1C0	11	M  JCommTable6.R1C0	1	Single-KC	54	0.5689428766259064
13083	55	Streak Agent(1)	M 3_4_times_4_9	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable8.R0C0	7	M  JCommTable8.R0C0	1	Single-KC	55	3.0050835161073876e-15
13084	56	Streak Agent(1)	M 3_4_times_4_9	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	JCommTable6.R0C0	8	M  JCommTable6.R0C0	2	Single-KC	56	0.5397916061766184
13085	57	Streak Agent(1)	M 3_4_times_4_9	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	JCommTable6.R1C0	12	M  JCommTable6.R1C0	2	Single-KC	57	0.6207539105342647
13086	58	Streak Agent(1)	M 3_4_times_4_9	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable4.R1C0	7	M  JCommTable4.R1C0	1	Single-KC	58	1.1973384891542123e-15
13087	59	Streak Agent(1)	M 3_4_times_4_9	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	done	10	M  done	1	Single-KC	59	0.3348055879276095
13088	60	Streak Agent(1)	AS 2_5_plus_4_5	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R0C0	9	AS JCommTable6.R0C0	2	Single-KC	60	0.3281511787786155
13089	61	Streak Agent(1)	AS 2_5_plus_4_5	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R1C0	13	AS JCommTable6.R1C0	2	Single-KC	61	0.3633811690770957
13090	62	Streak Agent(1)	AS 2_5_plus_4_5	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable8.R0C0	8	AS JCommTable8.R0C0	2	Single-KC	62	1.9938234769643712e-15
13091	63	Streak Agent(1)	AS 2_5_plus_4_5	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable6.R1C0	14	AS JCommTable6.R1C0	3	Single-KC	63	0.5332056660790324
13092	64	Streak Agent(1)	AS 2_5_plus_4_5	1	done	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	done	11	AS done	2	Single-KC	64	0.8208957827850869
13093	65	Streak Agent(1)	AS 2_5_plus_4_5	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	JCommTable6.R0C0	10	AS JCommTable6.R0C0	3	Single-KC	65	0.4686222782899513
13094	66	Streak Agent(1)	AS 2_5_plus_4_5	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	done	12	AS done	3	Single-KC	66	0.9238927306815338
13095	67	Streak Agent(1)	M 1_4_times_7_8	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R0C0	11	M  JCommTable6.R0C0	3	Single-KC	67	0.588988226861665
13096	68	Streak Agent(1)	M 1_4_times_7_8	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R1C0	15	M  JCommTable6.R1C0	3	Single-KC	68	0.6699501086285476
13097	69	Streak Agent(1)	M 1_4_times_7_8	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	JCommTable6.R0C0	12	M  JCommTable6.R0C0	4	Single-KC	69	0.6364675655903841
13098	70	Streak Agent(1)	M 1_4_times_7_8	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable6.R1C0	16	M  JCommTable6.R1C0	4	Single-KC	70	0.7156874553940852
13099	71	Streak Agent(1)	M 1_4_times_7_8	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	done	13	M  done	2	Single-KC	71	0.4924335560788026
13100	72	Streak Agent(1)	AS 3_8_plus_7_8	2	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable6.R1C0	17	AS JCommTable6.R1C0	4	Single-KC	72	0.695668495386239
13101	73	Streak Agent(1)	AS 3_8_plus_7_8	2	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	JCommTable6.R0C0	13	AS JCommTable6.R0C0	4	Single-KC	73	0.6142486566331685
13102	74	Streak Agent(1)	AS 3_8_plus_7_8	2	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	done	14	AS done	4	Single-KC	74	0.9698359487118081
13103	75	Streak Agent(1)	AS 2_5_plus_4_5	2	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable6.R0C0	14	AS JCommTable6.R0C0	5	Single-KC	75	0.7419425812311399
13104	76	Streak Agent(1)	AS 2_5_plus_4_5	2	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable6.R1C0	18	AS JCommTable6.R1C0	5	Single-KC	76	0.8206110475830954
