	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
3889	1	Random Controller(1)	M 1_3_times_4_9	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	1	M  JCommTable6.R0C0	1	Single-KC	1	0.5272594222380557
3890	2	Random Controller(1)	M 1_3_times_4_9	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	1	M  JCommTable6.R1C0	1	Single-KC	2	0.6052675027016873
3891	3	Random Controller(1)	M 1_3_times_4_9	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	1	M  done	1	Single-KC	3	0.36897734089389445
3892	4	Random Controller(1)	M 1_6_times_6_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R0C0	2	M  JCommTable6.R0C0	2	Single-KC	4	0.5767452738683919
3893	5	Random Controller(1)	M 1_6_times_6_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R1C0	2	M  JCommTable6.R1C0	2	Single-KC	5	0.6553572647533731
3894	6	Random Controller(1)	M 1_6_times_6_7	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	done	2	M  done	2	Single-KC	6	0.5298780347523363
3895	7	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R0C0	3	AD JCommTable6.R0C0	1	Single-KC	7	0.27810498142439966
3896	8	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	3	AD JCommTable6.R1C0	1	Single-KC	8	0.2688533885876143
3897	9	Random Controller(1)	AD 5_3_plus_9_8	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	done	3	AD done	1	Single-KC	9	0.37227584326680224
3898	10	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable8.R0C0	1	AD JCommTable8.R0C0	1	Single-KC	10	0.4358941387796754
3899	11	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R1C0	1	AD JCommTable4.R1C0	1	Single-KC	11	0.35343308807848867
3900	12	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	4	AD JCommTable6.R1C0	2	Single-KC	12	0.29407142134636327
3901	13	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R0C0	1	AD JCommTable4.R0C0	1	Single-KC	13	0.38092208918081216
3902	14	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R1C0	1	AD JCommTable5.R1C0	1	Single-KC	14	0.4359833188041552
3903	15	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R0C0	1	AD JCommTable5.R0C0	1	Single-KC	15	0.34618016228717297
3904	16	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	5	AD JCommTable6.R1C0	3	Single-KC	16	0.32061760149998497
3905	17	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	4	AD JCommTable6.R0C0	2	Single-KC	17	0.3047479388691733
3906	18	Random Controller(1)	AD 5_3_plus_9_8	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	4	AD done	2	Single-KC	18	0.531108886743624
3907	19	Random Controller(1)	M 4_9_times_3_4	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable8.R0C0	2	M  JCommTable8.R0C0	1	Single-KC	19	3.4911393410935374e-15
3908	20	Random Controller(1)	M 4_9_times_3_4	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R1C0	6	M  JCommTable6.R1C0	3	Single-KC	20	0.702217994905604
3909	21	Random Controller(1)	M 4_9_times_3_4	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable4.R1C0	2	M  JCommTable4.R1C0	1	Single-KC	21	1.391001441952069e-15
3910	22	Random Controller(1)	M 4_9_times_3_4	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	JCommTable6.R0C0	5	M  JCommTable6.R0C0	3	Single-KC	22	0.6247378134949395
3911	23	Random Controller(1)	M 4_9_times_3_4	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	5	M  done	3	Single-KC	23	0.6847992359592208
