	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
21864	1	Revised BKT Controller(1)	M 3_7_times_2_8	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	1	M  JCommTable6.R0C0	1	Single-KC	1	0.3122993266429955
21865	2	Revised BKT Controller(1)	M 3_7_times_2_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	1	M  JCommTable6.R1C0	1	Single-KC	2	0.3843617707766642
21866	3	Revised BKT Controller(1)	M 3_7_times_2_8	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	1	M  done	1	Single-KC	3	0.1922984519372226
21867	4	Revised BKT Controller(1)	M 2_8_times_3_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R0C0	2	M  JCommTable6.R0C0	2	Single-KC	4	0.35683886619837973
21868	5	Revised BKT Controller(1)	M 2_8_times_3_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R1C0	2	M  JCommTable6.R1C0	2	Single-KC	5	0.4363803838344169
21869	6	Revised BKT Controller(1)	M 2_8_times_3_7	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	done	2	M  done	2	Single-KC	6	0.3145607214067084
21870	7	Revised BKT Controller(1)	M 2_8_times_3_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	3	M  JCommTable6.R0C0	3	Single-KC	7	0.40399889873651873
21871	8	Revised BKT Controller(1)	M 2_8_times_3_7	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	3	M  done	3	Single-KC	8	0.4693829653371628
21872	9	Revised BKT Controller(1)	AS 2_3_plus_4_3	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	3	AS JCommTable6.R1C0	1	Single-KC	9	0.1188808982475159
21873	10	Revised BKT Controller(1)	AS 2_3_plus_4_3	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R0C0	4	AS JCommTable6.R0C0	1	Single-KC	10	0.11344183220136768
21874	11	Revised BKT Controller(1)	AS 2_3_plus_4_3	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	4	AS JCommTable6.R1C0	2	Single-KC	11	0.21259840215181272
21875	12	Revised BKT Controller(1)	AS 2_3_plus_4_3	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	5	AS JCommTable6.R0C0	2	Single-KC	12	0.18767730671337127
21876	13	Revised BKT Controller(1)	AS 2_3_plus_4_3	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	done	4	AS done	1	Single-KC	13	0.45011395678079713
21877	14	Revised BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	5	AD JCommTable6.R1C0	1	Single-KC	14	0.13022336423978145
21878	15	Revised BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R0C0	6	AD JCommTable6.R0C0	1	Single-KC	15	0.13558918368530798
21879	16	Revised BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	6	AD JCommTable6.R1C0	2	Single-KC	16	0.1450172141214918
21880	17	Revised BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable8.R0C0	1	AD JCommTable8.R0C0	1	Single-KC	17	0.23932568042321944
21881	18	Revised BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R1C0	1	AD JCommTable4.R1C0	1	Single-KC	18	0.1820499771860165
21882	19	Revised BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	7	AD JCommTable6.R1C0	3	Single-KC	19	0.16118025708226674
21883	20	Revised BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R0C0	1	AD JCommTable4.R0C0	1	Single-KC	20	0.20033951414098028
21884	21	Revised BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable5.R1C0	1	AD JCommTable5.R1C0	1	Single-KC	21	0.23939171098093065
21885	22	Revised BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable5.R0C0	1	AD JCommTable5.R0C0	1	Single-KC	22	0.1773493695811084
21886	23	Revised BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable6.R1C0	8	AD JCommTable6.R1C0	4	Single-KC	23	0.178768100101769
21887	24	Revised BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	JCommTable6.R0C0	7	AD JCommTable6.R0C0	2	Single-KC	24	0.15144312981291796
21888	25	Revised BKT Controller(1)	AD 5_3_plus_9_8	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	5	AD done	1	Single-KC	25	0.1945043591701057
21889	26	Revised BKT Controller(1)	M 3_4_times_4_9	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable8.R0C0	2	M  JCommTable8.R0C0	1	Single-KC	26	1.4214687404220239e-15
21890	27	Revised BKT Controller(1)	M 3_4_times_4_9	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable4.R0C0	2	M  JCommTable4.R0C0	1	Single-KC	27	8.3591253005459e-15
21891	28	Revised BKT Controller(1)	M 3_4_times_4_9	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable5.R1C0	2	M  JCommTable5.R1C0	1	Single-KC	28	6.660072110002337e-15
21892	29	Revised BKT Controller(1)	M 3_4_times_4_9	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	JCommTable6.R0C0	8	M  JCommTable6.R0C0	4	Single-KC	29	0.4530017138336352
21893	30	Revised BKT Controller(1)	M 3_4_times_4_9	1	done	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	done	6	M  done	4	Single-KC	30	0.6303316083810926
21894	31	Revised BKT Controller(1)	M 3_4_times_4_9	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable6.R1C0	9	M  JCommTable6.R1C0	3	Single-KC	31	0.48983757900915426
21895	32	Revised BKT Controller(1)	M 3_4_times_4_9	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable4.R1C0	2	M  JCommTable4.R1C0	1	Single-KC	32	5.663666999316808e-16
21896	33	Revised BKT Controller(1)	M 3_4_times_4_9	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	done	7	M  done	5	Single-KC	33	0.7667233416395776
21897	34	Revised BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable4.R0C0	3	AS JCommTable4.R0C0	1	Single-KC	34	6.841557943660608e-10
21898	35	Revised BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R0C0	9	AS JCommTable6.R0C0	3	Single-KC	35	0.29436227324728836
21899	36	Revised BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable8.R0C0	3	AS JCommTable8.R0C0	1	Single-KC	36	9.43121124998086e-16
21900	37	Revised BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable6.R1C0	10	AS JCommTable6.R1C0	3	Single-KC	37	0.3507836778812112
21901	38	Revised BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R0C0	10	AS JCommTable6.R0C0	4	Single-KC	38	0.429618495495113
21902	39	Revised BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable4.R0C0	4	AS JCommTable4.R0C0	2	Single-KC	39	6.841557943660608e-10
21903	40	Revised BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable5.R0C0	2	AS JCommTable5.R0C0	1	Single-KC	40	1.4721338307276533e-08
21904	41	Revised BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable6.R0C0	11	AS JCommTable6.R0C0	5	Single-KC	41	0.5762688287177136
21905	42	Revised BKT Controller(1)	AS 2_3_plus_4_3	2	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	8	AS done	2	Single-KC	42	0.684345275736098
21906	43	Revised BKT Controller(1)	M 1_6_times_1_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	1	JCommTable6.R0C0	12	M  JCommTable6.R0C0	5	Single-KC	43	0.5029326768133578
21907	44	Revised BKT Controller(1)	M 1_6_times_1_3	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable6.R1C0	11	M  JCommTable6.R1C0	4	Single-KC	44	0.5435282120505509
21908	45	Revised BKT Controller(1)	M 1_6_times_1_3	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	done	9	M  done	6	Single-KC	45	0.863675864472038
21909	46	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R0C0	13	AD JCommTable6.R0C0	3	Single-KC	46	0.1687888491580622
21910	47	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R1C0	12	AD JCommTable6.R1C0	5	Single-KC	47	0.19782250648144215
21911	48	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	JCommTable8.R0C0	4	AD JCommTable8.R0C0	2	Single-KC	48	0.3799600637288176
21912	49	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R0C0	14	AD JCommTable6.R0C0	4	Single-KC	49	0.1876818645895589
21913	50	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable4.R0C0	5	AD JCommTable4.R0C0	2	Single-KC	50	0.24714742393491068
