	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
3755	1	Random Controller(1)	M 10_3_times_2_6	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	1	Single-KC	1	M  JCommTable6.R0C0	1	0.4772650336749836
3756	2	Random Controller(1)	M 10_3_times_2_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	1	Single-KC	2	M  JCommTable6.R1C0	1	0.5224535717582982
3757	3	Random Controller(1)	M 10_3_times_2_6	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	1	Single-KC	3	M  done	1	0.35847682636190137
3758	4	Random Controller(1)	M 1_7_times_5_1	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R1C0	2	Single-KC	4	M  JCommTable6.R1C0	2	0.5697753582350052
3759	5	Random Controller(1)	M 1_7_times_5_1	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R0C0	2	Single-KC	5	M  JCommTable6.R0C0	2	0.5131725571963165
3760	6	Random Controller(1)	M 1_7_times_5_1	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	done	2	Single-KC	6	M  done	2	0.6010416911565912
3761	7	Random Controller(1)	M 3_3_times_4_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R1C0	3	Single-KC	7	M  JCommTable6.R1C0	3	0.6158557485264493
3762	8	Random Controller(1)	M 3_3_times_4_6	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R0C0	3	Single-KC	8	M  JCommTable6.R0C0	3	0.5489446269355897
3763	9	Random Controller(1)	M 3_3_times_4_6	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	done	3	Single-KC	9	M  done	3	0.8024370352943453
3764	10	Random Controller(1)	M 2_10_times_2_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R1C0	4	Single-KC	10	M  JCommTable6.R1C0	4	0.6599462209745409
