	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
0	1	BKT Controller(1)	AS 2_6_plus_4_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	1	Single-KC	1	AS JCommTable6.R1C0	1	0.2064045504551129
1	2	BKT Controller(1)	AS 2_6_plus_4_6	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	1	Single-KC	2	AS JCommTable6.R0C0	1	0.08497233740508993
2	3	BKT Controller(1)	AS 2_6_plus_4_6	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	1	Single-KC	3	AS done	1	0.20300048044464983
3	4	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	2	Single-KC	4	AD JCommTable6.R1C0	1	0.038991570594711394
4	5	BKT Controller(1)	AD 1_1_plus_7_4	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	done	2	Single-KC	5	AD done	1	0.14691332925669764
5	6	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable8.R0C0	1	Single-KC	6	AD JCommTable8.R0C0	1	0.3013684850285477
6	7	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R1C0	1	Single-KC	7	AD JCommTable4.R1C0	1	0.07342402141838901
7	8	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R0C0	1	Single-KC	8	AD JCommTable4.R0C0	1	0.1735824041891885
8	9	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R1C0	1	Single-KC	9	AD JCommTable5.R1C0	1	0.16432231914767625
9	10	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R0C0	1	Single-KC	10	AD JCommTable5.R0C0	1	0.06969514593610372
10	11	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	3	Single-KC	11	AD JCommTable6.R1C0	2	0.04698287459749646
