	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
0	1	BKT Controller(1)	AS 10_8_plus_4_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	1	Single-KC	1	AS JCommTable6.R1C0	1	0.37243635524872265
1	2	BKT Controller(1)	AS 10_8_plus_4_8	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	1	Single-KC	2	AS JCommTable6.R0C0	1	0.4327728329210545
2	3	BKT Controller(1)	AS 10_8_plus_4_8	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	1	Single-KC	3	AS done	1	0.5212669186385952
3	4	BKT Controller(1)	M 7_7_times_9_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	2	Single-KC	4	M  JCommTable6.R1C0	1	0.3437099988138744
4	5	BKT Controller(1)	M 7_7_times_9_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R0C0	2	Single-KC	5	M  JCommTable6.R0C0	1	0.3041354554170406
5	6	BKT Controller(1)	M 7_7_times_9_7	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	done	2	Single-KC	6	M  done	1	0.2110412350064322
6	7	BKT Controller(1)	M 7_7_times_9_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	3	Single-KC	7	M  JCommTable6.R0C0	2	0.335374300339394
7	8	BKT Controller(1)	M 7_7_times_9_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	3	Single-KC	8	M  JCommTable6.R1C0	2	0.3879958199950454
8	9	BKT Controller(1)	M 7_7_times_9_7	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	3	Single-KC	9	M  done	2	0.419001945170318
9	10	BKT Controller(1)	M 1_7_times_2_2	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	JCommTable6.R0C0	4	Single-KC	10	M  JCommTable6.R0C0	3	0.3681243658421527
10	11	BKT Controller(1)	M 1_7_times_2_2	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	JCommTable6.R1C0	4	Single-KC	11	M  JCommTable6.R1C0	3	0.43421248012681996
11	12	BKT Controller(1)	M 1_7_times_2_2	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	done	4	Single-KC	12	M  done	3	0.6603640181210597
12	13	BKT Controller(1)	AD 3_10_plus_8_6	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R0C0	5	Single-KC	13	AD JCommTable6.R0C0	1	0.2427784928253279
13	14	BKT Controller(1)	AD 3_10_plus_8_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	5	Single-KC	14	AD JCommTable6.R1C0	1	0.21679363582932537
14	15	BKT Controller(1)	AD 3_10_plus_8_6	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable8.R0C0	1	Single-KC	15	AD JCommTable8.R0C0	1	0.6618419607423852
15	16	BKT Controller(1)	AD 3_10_plus_8_6	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R1C0	1	Single-KC	16	AD JCommTable4.R1C0	1	0.32751058791770055
16	17	BKT Controller(1)	AD 3_10_plus_8_6	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R0C0	1	Single-KC	17	AD JCommTable4.R0C0	1	0.26757074672138487
17	18	BKT Controller(1)	AD 3_10_plus_8_6	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R0C0	6	Single-KC	18	AD JCommTable6.R0C0	2	0.2535668453349714
18	19	BKT Controller(1)	AD 3_10_plus_8_6	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable5.R1C0	1	Single-KC	19	AD JCommTable5.R1C0	1	0.3696960354760783
19	20	BKT Controller(1)	AD 3_10_plus_8_6	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R1C0	6	Single-KC	20	AD JCommTable6.R1C0	2	0.22504661968597242
20	21	BKT Controller(1)	AD 3_10_plus_8_6	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable5.R0C0	1	Single-KC	21	AD JCommTable5.R0C0	1	0.2448771184016675
21	22	BKT Controller(1)	AD 3_10_plus_8_6	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R0C0	7	Single-KC	22	AD JCommTable6.R0C0	3	0.26466703752021165
