Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)
1	BKT Controller(1)	AS 2_6_plus_4_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	1	Single-KC	1	AS JCommTable6.R1C0	1
2	BKT Controller(1)	AS 2_6_plus_4_6	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	1	Single-KC	2	AS JCommTable6.R0C0	1
3	BKT Controller(1)	AS 2_6_plus_4_6	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	1	Single-KC	3	AS done	1
4	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	2	Single-KC	4	AD JCommTable6.R1C0	1
5	BKT Controller(1)	AD 1_1_plus_7_4	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	done	2	Single-KC	5	AD done	1
6	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable8.R0C0	1	Single-KC	6	AD JCommTable8.R0C0	1
7	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R1C0	1	Single-KC	7	AD JCommTable4.R1C0	1
8	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R0C0	1	Single-KC	8	AD JCommTable4.R0C0	1
9	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R1C0	1	Single-KC	9	AD JCommTable5.R1C0	1
10	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R0C0	1	Single-KC	10	AD JCommTable5.R0C0	1
11	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	3	Single-KC	11	AD JCommTable6.R1C0	2
12	BKT Controller(1)	AD 1_1_plus_7_4	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	2	Single-KC	12	AD JCommTable6.R0C0	1
13	BKT Controller(1)	AD 1_1_plus_7_4	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	3	Single-KC	13	AD done	2
14	BKT Controller(1)	M 3_7_times_6_6	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable4.R1C0	2	Single-KC	14	M  JCommTable4.R1C0	1
15	BKT Controller(1)	M 3_7_times_6_6	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable8.R0C0	2	Single-KC	15	M  JCommTable8.R0C0	1
16	BKT Controller(1)	M 3_7_times_6_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	4	Single-KC	16	M  JCommTable6.R1C0	1
17	BKT Controller(1)	M 3_7_times_6_6	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	JCommTable6.R0C0	3	Single-KC	17	M  JCommTable6.R0C0	1
18	BKT Controller(1)	M 3_7_times_6_6	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	done	4	Single-KC	18	M  done	1
19	BKT Controller(1)	M 3_7_times_6_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	5	Single-KC	19	M  JCommTable6.R1C0	2
20	BKT Controller(1)	M 3_7_times_6_6	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	5	Single-KC	20	M  done	2
21	BKT Controller(1)	AS 8_5_plus_4_5	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R0C0	4	Single-KC	21	AS JCommTable6.R0C0	2
22	BKT Controller(1)	AS 8_5_plus_4_5	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R1C0	6	Single-KC	22	AS JCommTable6.R1C0	2
23	BKT Controller(1)	AS 8_5_plus_4_5	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable8.R0C0	3	Single-KC	23	AS JCommTable8.R0C0	1
24	BKT Controller(1)	AS 8_5_plus_4_5	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable6.R1C0	7	Single-KC	24	AS JCommTable6.R1C0	3
25	BKT Controller(1)	AS 8_5_plus_4_5	1	done	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	done	6	Single-KC	25	AS done	2
26	BKT Controller(1)	AS 8_5_plus_4_5	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	JCommTable6.R0C0	5	Single-KC	26	AS JCommTable6.R0C0	3
27	BKT Controller(1)	AS 8_5_plus_4_5	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	7	Single-KC	27	AS done	3
28	BKT Controller(1)	AD 7_9_plus_4_3	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R1C0	8	Single-KC	28	AD JCommTable6.R1C0	3
29	BKT Controller(1)	AD 7_9_plus_4_3	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable8.R0C0	4	Single-KC	29	AD JCommTable8.R0C0	2
30	BKT Controller(1)	AD 7_9_plus_4_3	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	JCommTable4.R1C0	3	Single-KC	30	AD JCommTable4.R1C0	2
31	BKT Controller(1)	AD 7_9_plus_4_3	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable4.R0C0	2	Single-KC	31	AD JCommTable4.R0C0	2
32	BKT Controller(1)	AD 7_9_plus_4_3	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R0C0	6	Single-KC	32	AD JCommTable6.R0C0	2
33	BKT Controller(1)	AD 7_9_plus_4_3	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable5.R1C0	2	Single-KC	33	AD JCommTable5.R1C0	2
34	BKT Controller(1)	AD 7_9_plus_4_3	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable5.R0C0	2	Single-KC	34	AD JCommTable5.R0C0	2
35	BKT Controller(1)	AD 7_9_plus_4_3	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	JCommTable6.R1C0	9	Single-KC	35	AD JCommTable6.R1C0	4
36	BKT Controller(1)	AD 7_9_plus_4_3	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	JCommTable6.R0C0	7	Single-KC	36	AD JCommTable6.R0C0	3
37	BKT Controller(1)	AD 7_9_plus_4_3	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	8	Single-KC	37	AD done	3
38	BKT Controller(1)	AD 3_9_plus_7_1	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable4.R1C0	4	Single-KC	38	AD JCommTable4.R1C0	3
39	BKT Controller(1)	AD 3_9_plus_7_1	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable4.R0C0	3	Single-KC	39	AD JCommTable4.R0C0	3
40	BKT Controller(1)	AD 3_9_plus_7_1	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable5.R0C0	3	Single-KC	40	AD JCommTable5.R0C0	3
41	BKT Controller(1)	AD 3_9_plus_7_1	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable8.R0C0	5	Single-KC	41	AD JCommTable8.R0C0	3
42	BKT Controller(1)	AD 3_9_plus_7_1	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	JCommTable4.R1C0	5	Single-KC	42	AD JCommTable4.R1C0	4
