	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
22980	1	Streak Agent(1)	AD 3_10_plus_8_6	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable8.R0C0	1	Single-KC	1	AD JCommTable8.R0C0	1	0.6864926818110576
22981	2	Streak Agent(1)	AD 3_10_plus_8_6	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R1C0	1	Single-KC	2	AD JCommTable4.R1C0	1	0.3526966821705604
22982	3	Streak Agent(1)	AD 3_10_plus_8_6	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R0C0	1	Single-KC	3	AD JCommTable4.R0C0	1	0.29013606126818026
22983	4	Streak Agent(1)	AD 3_10_plus_8_6	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R1C0	1	Single-KC	4	AD JCommTable5.R1C0	1	0.39621489454382197
22984	5	Streak Agent(1)	AD 3_10_plus_8_6	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R0C0	1	Single-KC	5	AD JCommTable5.R0C0	1	0.26622423472672097
22985	6	Streak Agent(1)	AD 3_10_plus_8_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	1	Single-KC	6	AD JCommTable6.R1C0	1	0.23645920062297526
22986	7	Streak Agent(1)	AD 3_10_plus_8_6	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	1	Single-KC	7	AD JCommTable6.R0C0	1	0.2640066240304836
22987	8	Streak Agent(1)	AD 3_10_plus_8_6	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	1	Single-KC	8	AD done	1	0.2500185104139162
22988	9	Streak Agent(1)	AD 1_2_plus_2_3	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	2	Single-KC	9	AD JCommTable6.R1C0	2	0.24522641845785892
22989	10	Streak Agent(1)	AD 1_2_plus_2_3	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable8.R0C0	2	Single-KC	10	AD JCommTable8.R0C0	2	0.7005153889731665
22990	11	Streak Agent(1)	AD 1_2_plus_2_3	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	done	2	Single-KC	11	AD done	2	0.3602894401971391
22991	12	Streak Agent(1)	AD 1_2_plus_2_3	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R1C0	2	Single-KC	12	AD JCommTable4.R1C0	2	0.38393990365440145
22992	13	Streak Agent(1)	AD 1_2_plus_2_3	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	3	Single-KC	13	AD JCommTable6.R1C0	3	0.2542104739288997
22993	14	Streak Agent(1)	AD 1_2_plus_2_3	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable5.R0C0	2	Single-KC	14	AD JCommTable5.R0C0	2	0.28692564700530937
22994	15	Streak Agent(1)	AD 1_2_plus_2_3	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R0C0	2	Single-KC	15	AD JCommTable4.R0C0	2	0.3194763124155454
22995	16	Streak Agent(1)	AD 1_2_plus_2_3	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R1C0	2	Single-KC	16	AD JCommTable5.R1C0	2	0.417924470957142
22996	17	Streak Agent(1)	AD 1_2_plus_2_3	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R0C0	3	Single-KC	17	AD JCommTable5.R0C0	3	0.3085598806347418
22997	18	Streak Agent(1)	AD 1_2_plus_2_3	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R0C0	2	Single-KC	18	AD JCommTable6.R0C0	2	0.2753952155740723
22998	19	Streak Agent(1)	AD 1_2_plus_2_3	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R1C0	4	Single-KC	19	AD JCommTable6.R1C0	4	0.26340880115549786
22999	20	Streak Agent(1)	AD 1_2_plus_2_3	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	done	3	Single-KC	20	AD done	3	0.4875768921820053
23000	21	Streak Agent(1)	AD 5_1_plus_3_6	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable8.R0C0	3	Single-KC	21	AD JCommTable8.R0C0	3	0.7141720285900239
23001	22	Streak Agent(1)	AD 5_1_plus_3_6	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R1C0	5	Single-KC	22	AD JCommTable6.R1C0	5	0.2728182062978725
23002	23	Streak Agent(1)	AD 5_1_plus_3_6	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable4.R0C0	3	Single-KC	23	AD JCommTable4.R0C0	3	0.35031937177329403
23003	24	Streak Agent(1)	AD 5_1_plus_3_6	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable4.R1C0	3	Single-KC	24	AD JCommTable4.R1C0	3	0.41617136506522534
23004	25	Streak Agent(1)	AD 5_1_plus_3_6	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable4.R0C0	4	Single-KC	25	AD JCommTable4.R0C0	4	0.3824665958562226
23005	26	Streak Agent(1)	AD 5_1_plus_3_6	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R1C0	6	Single-KC	26	AD JCommTable6.R1C0	6	0.28243485112281613
23006	27	Streak Agent(1)	AD 5_1_plus_3_6	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable5.R0C0	4	Single-KC	27	AD JCommTable5.R0C0	4	0.331067989519505
23007	28	Streak Agent(1)	AD 5_1_plus_3_6	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable5.R1C0	3	Single-KC	28	AD JCommTable5.R1C0	3	0.439956806420711
23008	29	Streak Agent(1)	AD 5_1_plus_3_6	1	done	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	done	4	Single-KC	29	AD done	4	0.6164962388141192
23009	30	Streak Agent(1)	AD 5_1_plus_3_6	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R1C0	7	Single-KC	30	AD JCommTable6.R1C0	7	0.29225423981623644
23010	31	Streak Agent(1)	AD 5_1_plus_3_6	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable5.R0C0	5	Single-KC	31	AD JCommTable5.R0C0	5	0.3543764777825601
23011	32	Streak Agent(1)	AD 5_1_plus_3_6	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable6.R0C0	3	Single-KC	32	AD JCommTable6.R0C0	3	0.2870834545142803
23012	33	Streak Agent(1)	AD 5_1_plus_3_6	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable6.R1C0	8	Single-KC	33	AD JCommTable6.R1C0	8	0.3022712093706152
23013	34	Streak Agent(1)	AD 5_1_plus_3_6	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	5	Single-KC	34	AD done	5	0.7308832133333726
23014	35	Streak Agent(1)	AD 5_1_plus_7_7	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable8.R0C0	4	Single-KC	35	AD JCommTable8.R0C0	4	0.7274482140428711
23015	36	Streak Agent(1)	AD 5_1_plus_7_7	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable5.R1C0	4	Single-KC	36	AD JCommTable5.R1C0	4	0.46222829274687305
