Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)
1	BKT Controller(1)	AD 3_7_plus_2_8	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable8.R0C0	1	AD JCommTable8.R0C0	1	Single-KC	1
2	BKT Controller(1)	AD 3_7_plus_2_8	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R1C0	1	AD JCommTable4.R1C0	1	Single-KC	2
3	BKT Controller(1)	AD 3_7_plus_2_8	1	7	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R0C0	1	AD JCommTable4.R0C0	1	Single-KC	3
4	BKT Controller(1)	AD 3_7_plus_2_8	1	9	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R1C0	1	AD JCommTable5.R1C0	1	Single-KC	4
5	BKT Controller(1)	AD 3_7_plus_2_8	1	15	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R0C0	1	AD JCommTable5.R0C0	1	Single-KC	5
6	BKT Controller(1)	AD 3_7_plus_2_8	1	17	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	1	AD JCommTable6.R1C0	1	Single-KC	6
7	BKT Controller(1)	AD 3_7_plus_2_8	1	19	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	1	AD JCommTable6.R0C0	1	Single-KC	7
8	BKT Controller(1)	AD 3_7_plus_2_8	1	25	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	1	AD done	1	Single-KC	8
9	BKT Controller(1)	M 5_3_times_2_5	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	4	1	1	JCommTable5.R1C0	2	M  JCommTable5.R1C0	1	Single-KC	9
10	BKT Controller(1)	M 5_3_times_2_5	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	2	M  JCommTable6.R1C0	1	Single-KC	10
11	BKT Controller(1)	M 5_3_times_2_5	1	5	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	JCommTable4.R1C0	2	M  JCommTable4.R1C0	1	Single-KC	11
12	BKT Controller(1)	M 7_8_times_1_4	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	0	JCommTable4.R1C0	3	M  JCommTable4.R1C0	2	Single-KC	12
13	BKT Controller(1)	M 7_8_times_1_4	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R1C0	3	M  JCommTable6.R1C0	2	Single-KC	13
14	BKT Controller(1)	M 7_8_times_1_4	1	5	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	done	2	M  done	1	Single-KC	14
15	BKT Controller(1)	M 1_3_times_3_2	1	1	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable6.R0C0	2	M  JCommTable6.R0C0	1	Single-KC	15
16	BKT Controller(1)	M 1_3_times_3_2	1	3	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable6.R1C0	4	M  JCommTable6.R1C0	3	Single-KC	16
17	BKT Controller(1)	M 1_3_times_3_2	1	5	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	0	JCommTable5.R1C0	3	M  JCommTable5.R1C0	2	Single-KC	17
18	BKT Controller(1)	AD 7_8_plus_1_3	1	1	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	3	1	0	JCommTable4.R1C0	4	AD JCommTable4.R1C0	2	Single-KC	18
19	BKT Controller(1)	AD 7_8_plus_1_3	1	3	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable4.R1C0	5	AD JCommTable4.R1C0	3	Single-KC	19
20	BKT Controller(1)	AD 7_8_plus_1_3	1	7	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable4.R0C0	2	AD JCommTable4.R0C0	2	Single-KC	20
21	BKT Controller(1)	AD 7_8_plus_1_3	1	9	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	0	JCommTable6.R0C0	3	AD JCommTable6.R0C0	2	Single-KC	21
22	BKT Controller(1)	AD 7_8_plus_1_3	1	15	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	JCommTable6.R0C0	4	AD JCommTable6.R0C0	3	Single-KC	22
23	BKT Controller(1)	AD 7_8_plus_1_3	1	17	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable6.R1C0	5	AD JCommTable6.R1C0	2	Single-KC	23
24	BKT Controller(1)	AD 7_8_plus_1_3	1	19	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable6.R0C0	5	AD JCommTable6.R0C0	4	Single-KC	24
25	BKT Controller(1)	AD 7_8_plus_1_3	1	25	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	3	AD done	2	Single-KC	25
26	BKT Controller(1)	AD 6_7_plus_1_6	1	1	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable8.R0C0	2	AD JCommTable8.R0C0	2	Single-KC	26
27	BKT Controller(1)	AD 6_7_plus_1_6	1	3	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable4.R1C0	6	AD JCommTable4.R1C0	4	Single-KC	27
28	BKT Controller(1)	AD 6_7_plus_1_6	1	11	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable5.R1C0	4	AD JCommTable5.R1C0	2	Single-KC	28
29	BKT Controller(1)	AD 6_7_plus_1_6	1	13	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	JCommTable6.R0C0	6	AD JCommTable6.R0C0	5	Single-KC	29
30	BKT Controller(1)	AD 6_7_plus_1_6	1	15	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable5.R0C0	2	AD JCommTable5.R0C0	2	Single-KC	30
31	BKT Controller(1)	AD 6_7_plus_1_6	1	21	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable6.R0C0	7	AD JCommTable6.R0C0	6	Single-KC	31
