	Opportunity (ptype_selection)	Opportunity (ptype_selection)	Prediction	Prediction
	mean	count	mean	count
KC (ptype_selection)				
AD JCommTable4.R0C0	4.142857142857143	28	0.5596097741518568	28
AD JCommTable4.R1C0	4.733333333333333	30	0.7044746175743003	30
AD JCommTable5.R0C0	5.0344827586206895	29	0.5125398848538205	29
AD JCommTable5.R1C0	5.066666666666666	30	0.6931046049687364	30
AD JCommTable6.R0C0	9.066666666666666	30	0.5538526063338569	30
AD JCommTable6.R1C0	9.1	30	0.557714517807839	30
AD JCommTable8.R0C0	3.1739130434782608	23	0.8426493851965134	23
AD done	6.0	30	0.8745572133121626	30
AS JCommTable4.R0C0	1.4	5	8.13986648431843e-09	5
AS JCommTable4.R1C0	1.25	8	1.3988589911300897e-09	8
AS JCommTable5.R0C0	1.0	5	2.6177584908730964e-08	5
AS JCommTable5.R1C0	1.2	5	6.640887120638421e-09	5
AS JCommTable6.R0C0	3.896551724137931	29	0.6303492143455272	29
AS JCommTable6.R1C0	2.8214285714285716	28	0.7088055960547636	28
AS JCommTable8.R0C0	1.2272727272727273	22	2.386656046680877e-09	22
AS done	4.033333333333333	30	0.946676935465489	30
M  JCommTable4.R0C0	1.0	5	4.660955546535351e-08	5
M  JCommTable4.R1C0	1.6956521739130435	23	1.240713337378963e-09	23
M  JCommTable5.R0C0	1.1666666666666667	6	9.266667456840436e-09	6
M  JCommTable5.R1C0	2.066666666666667	15	2.197577819711222e-09	15
M  JCommTable6.R0C0	13.833333333333334	30	0.9428017192548969	30
M  JCommTable6.R1C0	14.733333333333333	30	0.946264358510965	30
M  JCommTable8.R0C0	1.3333333333333333	21	1.9949999025539063e-09	21
M  done	15.433333333333334	30	0.9982349270091446	30
