Anon Student Id	Session Id	Transaction Id	Time	Time Zone	Student Response Type	Tutor Response Type	Level (Domain)	Problem Name	Problem Start Time	Step Name	Selection	Action	Input	Feedback Text	Outcome	CF (Problem Context)	KC (Single-KC)	KC (Selected)	KC (ptype_selection)
BKT Controller(1)	302f9972-a1f5-82e5-7fd5-e64849e2ebb1	65083f1f-82b5-ee0a-4e56-ff3bcc8990e2	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 3_7_plus_2_8	1/1/1970 0:00	1				Please enter 'x' in the highlighted cell.	HINT		Single-KC	JCommTable8.R0C0	AD JCommTable8.R0C0
BKT Controller(1)	302f9972-a1f5-82e5-7fd5-e64849e2ebb1	043aae8d-12f4-f65f-8a8a-0dbcd9180476	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_7_plus_2_8	1/1/1970 0:00	1	JCommTable8.R0C0	UpdateTextArea	x		CORRECT		Single-KC	JCommTable8.R0C0	AD JCommTable8.R0C0
BKT Controller(1)	302f9972-a1f5-82e5-7fd5-e64849e2ebb1	2fcf7a24-2dbb-6849-e06b-02b52cf66d8b	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 3_7_plus_2_8	1/1/1970 0:00	3				Please enter '56' in the highlighted cell.	HINT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
BKT Controller(1)	302f9972-a1f5-82e5-7fd5-e64849e2ebb1	479103d5-e9f1-67b7-4ce6-f25e2bda11a7	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_7_plus_2_8	1/1/1970 0:00	3	JCommTable4.R1C0	UpdateTextArea	56		CORRECT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
BKT Controller(1)	302f9972-a1f5-82e5-7fd5-e64849e2ebb1	ca153dae-2a0c-db71-ae08-6b88193ee907	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 3_7_plus_2_8	1/1/1970 0:00	7				Please enter '24' in the highlighted cell.	HINT		Single-KC	JCommTable4.R0C0	AD JCommTable4.R0C0
BKT Controller(1)	302f9972-a1f5-82e5-7fd5-e64849e2ebb1	745de0b1-7bc1-eebc-1c8e-0c5ed9d38601	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_7_plus_2_8	1/1/1970 0:00	7	JCommTable4.R0C0	UpdateTextArea	24		CORRECT		Single-KC	JCommTable4.R0C0	AD JCommTable4.R0C0
BKT Controller(1)	302f9972-a1f5-82e5-7fd5-e64849e2ebb1	d5fd0546-ab89-0b9c-d7be-bca1735d3ece	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 3_7_plus_2_8	1/1/1970 0:00	9				Please enter '56' in the highlighted cell.	HINT		Single-KC	JCommTable5.R1C0	AD JCommTable5.R1C0
BKT Controller(1)	302f9972-a1f5-82e5-7fd5-e64849e2ebb1	ea0d9516-1b4e-7cd0-65fd-1c38ca53c1b1	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_7_plus_2_8	1/1/1970 0:00	9	JCommTable5.R1C0	UpdateTextArea	56		CORRECT		Single-KC	JCommTable5.R1C0	AD JCommTable5.R1C0
BKT Controller(1)	302f9972-a1f5-82e5-7fd5-e64849e2ebb1	2e102d5d-cabf-ad1c-b2aa-2e8a3002e2fa	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 3_7_plus_2_8	1/1/1970 0:00	15				Please enter '14' in the highlighted cell.	HINT		Single-KC	JCommTable5.R0C0	AD JCommTable5.R0C0
BKT Controller(1)	302f9972-a1f5-82e5-7fd5-e64849e2ebb1	80c2d75b-5bd8-677a-5cce-c4089fccf10a	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_7_plus_2_8	1/1/1970 0:00	15	JCommTable5.R0C0	UpdateTextArea	14		CORRECT		Single-KC	JCommTable5.R0C0	AD JCommTable5.R0C0
