	Opportunity (ptype_selection)	Opportunity (ptype_selection)	Prediction	Prediction
	mean	count	mean	count
KC (ptype_selection)				
AD JCommTable4.R0C0	3.7333333333333334	30	0.6592056260757041	30
AD JCommTable4.R1C0	5.733333333333333	30	0.9147708028418198	30
AD JCommTable5.R0C0	5.866666666666666	30	0.6201932528719494	30
AD JCommTable5.R1C0	4.9	30	0.8377794901344898	30
AD JCommTable6.R0C0	9.4	30	0.5458626610118634	30
AD JCommTable6.R1C0	9.233333333333333	30	0.5715341509064767	30
AD JCommTable8.R0C0	2.607142857142857	28	0.8560990042732486	28
AD done	6.333333333333333	30	0.9917484498729362	30
AS JCommTable4.R0C0	1.0769230769230769	13	9.248777548172793e-10	13
AS JCommTable4.R1C0	1.0	8	8.485111855917563e-35	8
AS JCommTable5.R0C0	1.3333333333333333	3	1.4390733377765898e-144	3
AS JCommTable5.R1C0	1.0	2	2.2094266591076927e-218	2
AS JCommTable6.R0C0	4.366666666666666	30	0.5961152773381915	30
AS JCommTable6.R1C0	2.6666666666666665	30	0.7488128785764957	30
AS JCommTable8.R0C0	1.3461538461538463	26	1.545636853419717e-08	26
AS done	4.533333333333333	30	0.9284559033121373	30
M  JCommTable4.R0C0	1.125	8	5.1935330975175265e-17	8
M  JCommTable4.R1C0	2.2083333333333335	24	1.601539778406407e-09	24
M  JCommTable5.R0C0	1.0	6	5.553557382835395e-46	6
M  JCommTable5.R1C0	1.75	16	4.844993972808973e-08	16
M  JCommTable6.R0C0	14.666666666666666	30	0.9328790548170269	30
M  JCommTable6.R1C0	16.0	30	0.9401821414615771	30
M  JCommTable8.R0C0	1.2307692307692308	26	2.692315400960667e-08	26
M  done	16.9	30	0.9712797992498404	30
