	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	Prediction
0	1	BKT Controller(1)	AS 1_7_plus_3_7	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS JCommTable6.R1C0	1	Single-KC	1	JCommTable6.R1C0	1	0.5375353743424691
1	2	BKT Controller(1)	AS 1_7_plus_3_7	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS JCommTable6.R0C0	1	Single-KC	2	JCommTable6.R0C0	1	0.09296141220132742
2	3	BKT Controller(1)	AS 1_7_plus_3_7	1	11	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS done	1	Single-KC	3	done	1	0.497297239946646
3	4	BKT Controller(1)	M 1_8_times_3_4	1	7	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	M  JCommTable6.R1C0	1	Single-KC	4	JCommTable6.R1C0	2	0.3851426407594908
4	5	BKT Controller(1)	M 1_8_times_3_4	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	M  done	1	Single-KC	5	done	2	0.28870650638262685
5	6	BKT Controller(1)	M 1_8_times_3_4	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	M  JCommTable6.R1C0	2	Single-KC	6	JCommTable6.R1C0	3	0.4702646686995925
6	7	BKT Controller(1)	M 1_8_times_3_4	1	5	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	M  done	2	Single-KC	7	done	3	0.40777556319760266
7	8	BKT Controller(1)	AS 7_9_plus_4_9	1	7	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	AS JCommTable6.R0C0	2	Single-KC	8	JCommTable6.R0C0	2	0.18131642499243536
8	9	BKT Controller(1)	AS 7_9_plus_4_9	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	AS JCommTable6.R1C0	2	Single-KC	9	JCommTable6.R1C0	4	0.6484253092667922
9	10	BKT Controller(1)	AS 7_9_plus_4_9	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	AS JCommTable6.R0C0	3	Single-KC	10	JCommTable6.R0C0	3	0.3236807844450743
