	Opportunity (ptype_selection)	Opportunity (ptype_selection)	Prediction	Prediction
	mean	count	mean	count
KC (ptype_selection)				
AD JCommTable4.R0C0	22.366666666666667	30	0.9690148722693099	30
AD JCommTable4.R1C0	18.166666666666668	30	0.9960336477966363	30
AD JCommTable5.R0C0	21.5	30	0.9716980619084196	30
AD JCommTable5.R1C0	17.7	30	0.9629280014967161	30
AD JCommTable6.R0C0	27.333333333333332	30	0.8200044461519387	30
AD JCommTable6.R1C0	29.6	30	0.8429197496672963	30
AD JCommTable8.R0C0	19.266666666666666	30	0.9999999999999485	30
AD done	24.166666666666668	30	0.9999662317758896	30
AS JCommTable4.R0C0	1.0	2	6.6126430301657414e-09	2
AS JCommTable4.R1C0	1.2	10	1.192077511537192e-10	10
AS JCommTable5.R0C0	1.0	2	7.815545773043697e-09	2
AS JCommTable5.R1C0	1.8	5	1.0659888578012049e-07	5
AS JCommTable6.R0C0	8.6	30	0.9421244065428181	30
AS JCommTable6.R1C0	7.433333333333334	30	0.9504217168899548	30
AS JCommTable8.R0C0	1.5	30	2.2979397104620905e-43	30
AS done	8.633333333333333	30	0.9976494986742227	30
M  JCommTable4.R0C0	2.0	24	1.248427053886721e-39	24
M  JCommTable4.R1C0	3.413793103448276	29	7.477305310398227e-17	29
M  JCommTable5.R0C0	1.3636363636363635	11	3.5269789280949066e-15	11
M  JCommTable5.R1C0	1.2857142857142858	14	1.2460179182090329e-20	14
M  JCommTable6.R0C0	12.7	30	0.926143134408223	30
M  JCommTable6.R1C0	14.9	30	0.9621091563011885	30
M  JCommTable8.R0C0	1.4482758620689655	29	6.625944295367912e-44	29
M  done	15.333333333333334	30	0.9991026276154088	30
