Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Selected)	Opportunity (Selected)
1	Streak Agent(1)	AD 5_6_plus_5_7	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	1	AD JCommTable8.R0C0	1	JCommTable8.R0C0	1
2	Streak Agent(1)	AD 5_6_plus_5_7	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	2	AD JCommTable4.R1C0	1	JCommTable4.R1C0	1
3	Streak Agent(1)	AD 5_6_plus_5_7	1	7	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	3	AD JCommTable4.R0C0	1	JCommTable4.R0C0	1
4	Streak Agent(1)	AD 5_6_plus_5_7	1	9	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	4	AD JCommTable5.R1C0	1	JCommTable5.R1C0	1
5	Streak Agent(1)	AD 5_6_plus_5_7	1	15	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	5	AD JCommTable5.R0C0	1	JCommTable5.R0C0	1
6	Streak Agent(1)	AD 5_6_plus_5_7	1	17	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	6	AD JCommTable6.R1C0	1	JCommTable6.R1C0	1
7	Streak Agent(1)	AD 5_6_plus_5_7	1	19	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	7	AD JCommTable6.R0C0	1	JCommTable6.R0C0	1
8	Streak Agent(1)	AD 5_6_plus_5_7	1	25	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	8	AD done	1	done	1
9	Streak Agent(1)	AD 5_6_plus_1_7	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	0	Single-KC	9	AD JCommTable6.R1C0	2	JCommTable6.R1C0	2
10	Streak Agent(1)	AD 5_6_plus_1_7	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	2	1	1	Single-KC	10	AD done	2	done	2
11	Streak Agent(1)	AD 5_6_plus_1_7	1	7	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	Single-KC	11	AD done	3	done	3
12	Streak Agent(1)	AD 5_6_plus_1_7	1	9	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	12	AD JCommTable5.R1C0	2	JCommTable5.R1C0	2
13	Streak Agent(1)	AD 5_6_plus_1_7	1	15	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	13	AD JCommTable5.R0C0	2	JCommTable5.R0C0	2
14	Streak Agent(1)	AD 5_6_plus_1_7	1	21	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	14	AD JCommTable6.R0C0	2	JCommTable6.R0C0	2
15	Streak Agent(1)	AD 5_6_plus_1_7	1	23	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	15	AD JCommTable6.R1C0	3	JCommTable6.R1C0	3
16	Streak Agent(1)	AD 5_6_plus_1_7	1	25	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	16	AD done	4	done	4
17	Streak Agent(1)	AD 5_3_plus_9_8	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	17	AD JCommTable8.R0C0	2	JCommTable8.R0C0	2
18	Streak Agent(1)	AD 5_3_plus_9_8	1	3	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	18	AD JCommTable4.R1C0	2	JCommTable4.R1C0	2
19	Streak Agent(1)	AD 5_3_plus_9_8	1	7	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	19	AD JCommTable4.R0C0	2	JCommTable4.R0C0	2
20	Streak Agent(1)	AD 5_3_plus_9_8	1	9	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	0	Single-KC	20	AD JCommTable6.R1C0	4	JCommTable6.R1C0	4
21	Streak Agent(1)	AD 5_3_plus_9_8	1	15	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	21	AD JCommTable5.R0C0	3	JCommTable5.R0C0	3
22	Streak Agent(1)	AD 5_3_plus_9_8	1	21	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	22	AD JCommTable6.R0C0	3	JCommTable6.R0C0	3
23	Streak Agent(1)	AD 5_3_plus_9_8	1	23	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	Single-KC	23	AD done	5	done	5
24	Streak Agent(1)	AD 5_3_plus_9_8	1	25	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	24	AD done	6	done	6
25	Streak Agent(1)	AD 5_9_plus_3_7	1	1	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	25	AD JCommTable8.R0C0	3	JCommTable8.R0C0	3
26	Streak Agent(1)	AD 5_9_plus_3_7	1	3	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	26	AD JCommTable4.R1C0	3	JCommTable4.R1C0	3
27	Streak Agent(1)	AD 5_9_plus_3_7	1	7	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	27	AD JCommTable4.R0C0	3	JCommTable4.R0C0	3
28	Streak Agent(1)	AD 5_9_plus_3_7	1	9	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	28	AD JCommTable5.R1C0	3	JCommTable5.R1C0	3
29	Streak Agent(1)	AD 5_9_plus_3_7	1	15	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	0	Single-KC	29	AD JCommTable6.R1C0	5	JCommTable6.R1C0	5
