Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)
1	Streak Agent(1)	AD 5_6_plus_5_7	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AD JCommTable8.R0C0	1	JCommTable8.R0C0	1	Single-KC	1
2	Streak Agent(1)	AD 5_6_plus_5_7	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AD JCommTable4.R1C0	1	JCommTable4.R1C0	1	Single-KC	2
3	Streak Agent(1)	AD 5_6_plus_5_7	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AD JCommTable4.R0C0	1	JCommTable4.R0C0	1	Single-KC	3
4	Streak Agent(1)	AD 5_6_plus_5_7	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AD JCommTable5.R1C0	1	JCommTable5.R1C0	1	Single-KC	4
5	Streak Agent(1)	AD 5_6_plus_5_7	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AD JCommTable5.R0C0	1	JCommTable5.R0C0	1	Single-KC	5
6	Streak Agent(1)	AD 5_6_plus_5_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AD JCommTable6.R1C0	1	JCommTable6.R1C0	1	Single-KC	6
7	Streak Agent(1)	AD 5_6_plus_5_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AD JCommTable6.R0C0	1	JCommTable6.R0C0	1	Single-KC	7
8	Streak Agent(1)	AD 5_6_plus_5_7	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AD done	1	done	1	Single-KC	8
9	Streak Agent(1)	AD 5_6_plus_1_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	AD JCommTable6.R1C0	2	JCommTable6.R1C0	2	Single-KC	9
10	Streak Agent(1)	AD 5_6_plus_1_7	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	AD JCommTable8.R0C0	2	JCommTable8.R0C0	2	Single-KC	10
11	Streak Agent(1)	AD 5_6_plus_1_7	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	AD done	2	done	2	Single-KC	11
12	Streak Agent(1)	AD 5_6_plus_1_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	AD JCommTable6.R1C0	3	JCommTable6.R1C0	3	Single-KC	12
13	Streak Agent(1)	AD 5_6_plus_1_7	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AD JCommTable4.R1C0	2	JCommTable4.R1C0	2	Single-KC	13
