Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Selected)	Opportunity (Selected)
1	BKT Controller(1)	M 3_7_times_2_8	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	1	M  JCommTable6.R0C0	1	JCommTable6.R0C0	1
2	BKT Controller(1)	M 3_7_times_2_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	2	M  JCommTable6.R1C0	1	JCommTable6.R1C0	1
3	BKT Controller(1)	M 3_7_times_2_8	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	3	M  done	1	done	1
4	BKT Controller(1)	M 2_8_times_3_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	4	M  JCommTable6.R0C0	2	JCommTable6.R0C0	2
5	BKT Controller(1)	M 2_8_times_3_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	5	M  JCommTable6.R1C0	2	JCommTable6.R1C0	2
6	BKT Controller(1)	M 2_8_times_3_7	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	6	M  done	2	done	2
7	BKT Controller(1)	M 2_8_times_3_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	7	M  JCommTable6.R0C0	3	JCommTable6.R0C0	3
8	BKT Controller(1)	M 2_8_times_3_7	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	8	M  done	3	done	3
9	BKT Controller(1)	AS 2_3_plus_4_3	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	9	AS JCommTable6.R1C0	1	JCommTable6.R1C0	3
10	BKT Controller(1)	AS 2_3_plus_4_3	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	10	AS JCommTable6.R0C0	1	JCommTable6.R0C0	4
11	BKT Controller(1)	AS 2_3_plus_4_3	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	11	AS JCommTable6.R1C0	2	JCommTable6.R1C0	4
12	BKT Controller(1)	AS 2_3_plus_4_3	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	12	AS JCommTable6.R0C0	2	JCommTable6.R0C0	5
13	BKT Controller(1)	AS 2_3_plus_4_3	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	13	AS done	1	done	4
