Anon Student Id	Session Id	Transaction Id	Time	Time Zone	Student Response Type	Tutor Response Type	Level (Domain)	Problem Name	Problem Start Time	Step Name	Selection	Action	Input	Feedback Text	Outcome	CF (Problem Context)	KC (Single-KC)	KC (Selected)	KC (ptype_selection)
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	637a492e-d7b1-294e-1781-554c073ed92d	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	M 1_3_times_4_9	1/1/1970 0:00	JCommTable6.R0C0				Please enter '4' in the highlighted cell.	HINT		Single-KC	JCommTable6.R0C0	M  JCommTable6.R0C0
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	72b4a869-63c5-ed56-6c48-8b97bdda4d95	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 1_3_times_4_9	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	4		CORRECT		Single-KC	JCommTable6.R0C0	M  JCommTable6.R0C0
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	4da62422-2c37-07d6-7703-575145246848	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	M 1_3_times_4_9	1/1/1970 0:00	JCommTable6.R1C0				Please enter '27' in the highlighted cell.	HINT		Single-KC	JCommTable6.R1C0	M  JCommTable6.R1C0
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	0c1df255-5d79-5350-bcf0-e66bc583bd8d	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 1_3_times_4_9	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	27		CORRECT		Single-KC	JCommTable6.R1C0	M  JCommTable6.R1C0
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	daccbcce-2a5e-ba8f-7a9f-dc81c17a9f86	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	M 1_3_times_4_9	1/1/1970 0:00	done				You have answered all the questions. Please click on the Done button to proceed to the next problem.	HINT		Single-KC	done	M  done
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	3a08e25e-b594-6dc8-c017-3acb12f40ced	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 1_3_times_4_9	1/1/1970 0:00	done	done	ButtonPressed	-1		CORRECT		Single-KC	done	M  done
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	df5e800a-4b64-d553-ef27-c97afd485380	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 1_6_times_6_7	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	6		CORRECT		Single-KC	JCommTable6.R0C0	M  JCommTable6.R0C0
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	72494983-cf9b-acbf-d393-ca6ad2a65b16	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 1_6_times_6_7	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	42		CORRECT		Single-KC	JCommTable6.R1C0	M  JCommTable6.R1C0
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	244cb3a8-0f4c-2a68-7337-691fb5f2a758	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 1_6_times_6_7	1/1/1970 0:00	done	done	ButtonPressed	-1		CORRECT		Single-KC	done	M  done
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	283fc53a-bb88-053a-0ca7-1a81e6d3059e	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 5_3_plus_9_8	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	1.8		INCORRECT		Single-KC	JCommTable6.R0C0	AD JCommTable6.R0C0
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	3e9a2cf5-e961-d44a-44ac-145daf84227c	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 5_3_plus_9_8	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	24	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable6.R1C0	AD JCommTable6.R1C0
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	e0946e01-f285-94b1-0bbc-1547b895e9fc	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 5_3_plus_9_8	1/1/1970 0:00	done	done	ButtonPressed	-1	"I'm sorry, but you are not done yet. Please continue working."	INCORRECT		Single-KC	done	AD done
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	e1b11b3d-08e0-290b-5d40-3c46c112af32	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 5_3_plus_9_8	1/1/1970 0:00	JCommTable8.R0C0				Please enter 'x' in the highlighted cell.	HINT		Single-KC	JCommTable8.R0C0	AD JCommTable8.R0C0
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	470716a0-fb1d-bdbb-70b0-88e2c43e3fe3	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 5_3_plus_9_8	1/1/1970 0:00	JCommTable8.R0C0	JCommTable8.R0C0	UpdateTextArea	x		CORRECT		Single-KC	JCommTable8.R0C0	AD JCommTable8.R0C0
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	433dc331-e2e6-2cf2-2ec4-068928e07662	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 5_3_plus_9_8	1/1/1970 0:00	JCommTable4.R1C0				Please enter '24' in the highlighted cell.	HINT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	804220c3-36d0-fc92-443b-e1f31b7dffc9	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 5_3_plus_9_8	1/1/1970 0:00	JCommTable4.R1C0	JCommTable4.R1C0	UpdateTextArea	24		CORRECT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
Random Controller(1)	a45b73c2-78ca-dc5d-be64-a49593d11c65	4351f309-9565-06cd-167e-b4fb3df34087	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 5_3_plus_9_8	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	24	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable6.R1C0	AD JCommTable6.R1C0
