	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
0	1	Random Controller(1)	M 1_3_times_4_9	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R0C0	1	M  JCommTable6.R0C0	1	Single-KC	1	0.5201571047947549
1	2	Random Controller(1)	M 1_3_times_4_9	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable6.R1C0	1	M  JCommTable6.R1C0	1	Single-KC	2	0.6582894244443817
2	3	Random Controller(1)	M 1_3_times_4_9	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	1	M  done	1	Single-KC	3	0.36491107841346915
3	4	Random Controller(1)	M 1_6_times_6_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R0C0	2	M  JCommTable6.R0C0	2	Single-KC	4	0.5688759993350844
4	5	Random Controller(1)	M 1_6_times_6_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable6.R1C0	2	M  JCommTable6.R1C0	2	Single-KC	5	0.6946941088315258
5	6	Random Controller(1)	M 1_6_times_6_7	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	done	2	M  done	2	Single-KC	6	0.527669692110088
6	7	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R0C0	3	AD JCommTable6.R0C0	1	Single-KC	7	0.10791244702860588
7	8	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	3	AD JCommTable6.R1C0	1	Single-KC	8	0.1512622591738079
8	9	Random Controller(1)	AD 5_3_plus_9_8	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	done	3	AD done	1	Single-KC	9	0.3519511086923597
9	10	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable8.R0C0	1	AD JCommTable8.R0C0	1	Single-KC	10	0.4162204105644369
10	11	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R1C0	1	AD JCommTable4.R1C0	1	Single-KC	11	0.3715776694573956
11	12	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	JCommTable6.R1C0	4	AD JCommTable6.R1C0	2	Single-KC	12	0.1798084952835541
12	13	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable4.R0C0	1	AD JCommTable4.R0C0	1	Single-KC	13	0.27410886367502196
13	14	Random Controller(1)	AD 5_3_plus_9_8	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	JCommTable5.R1C0	1	AD JCommTable5.R1C0	1	Single-KC	14	0.4068029545833741
