Anon Student Id	Session Id	Transaction Id	Time	Time Zone	Student Response Type	Tutor Response Type	Level (Domain)	Problem Name	Problem Start Time	Step Name	Selection	Action	Input	Feedback Text	Outcome	CF (Problem Context)	KC (Single-KC)	KC (Selected)	KC (ptype_selection)
Streak Agent(1)	dbdc435d-8688-f85a-df54-6aa1203395ce	6ac51fc2-e2d2-9218-1d8c-ef89e996b140	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 5_6_plus_5_7	1/1/1970 0:00	JCommTable8.R0C0				Please enter 'x' in the highlighted cell.	HINT		Single-KC	JCommTable8.R0C0	AD JCommTable8.R0C0
Streak Agent(1)	dbdc435d-8688-f85a-df54-6aa1203395ce	ff0ab7d0-33bf-8953-442f-6da0518e5381	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 5_6_plus_5_7	1/1/1970 0:00	JCommTable8.R0C0	JCommTable8.R0C0	UpdateTextArea	x		CORRECT		Single-KC	JCommTable8.R0C0	AD JCommTable8.R0C0
Streak Agent(1)	dbdc435d-8688-f85a-df54-6aa1203395ce	420ef6ed-63c0-3a69-98bc-c6bf4ae159a2	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 5_6_plus_5_7	1/1/1970 0:00	JCommTable4.R1C0				Please enter '42' in the highlighted cell.	HINT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
Streak Agent(1)	dbdc435d-8688-f85a-df54-6aa1203395ce	52853106-a419-de8b-913d-b183a9b1f208	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 5_6_plus_5_7	1/1/1970 0:00	JCommTable4.R1C0	JCommTable4.R1C0	UpdateTextArea	42		CORRECT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
Streak Agent(1)	dbdc435d-8688-f85a-df54-6aa1203395ce	cec832ce-50cc-2075-fff0-d61877d41e56	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 5_6_plus_5_7	1/1/1970 0:00	JCommTable4.R0C0				Please enter '35' in the highlighted cell.	HINT		Single-KC	JCommTable4.R0C0	AD JCommTable4.R0C0
Streak Agent(1)	dbdc435d-8688-f85a-df54-6aa1203395ce	13651f39-570d-f420-ca28-ab4d1fc67aa6	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 5_6_plus_5_7	1/1/1970 0:00	JCommTable4.R0C0	JCommTable4.R0C0	UpdateTextArea	35		CORRECT		Single-KC	JCommTable4.R0C0	AD JCommTable4.R0C0
Streak Agent(1)	dbdc435d-8688-f85a-df54-6aa1203395ce	8578c700-f8e6-0dbb-20ae-d6119b96423e	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 5_6_plus_5_7	1/1/1970 0:00	JCommTable5.R1C0				Please enter '42' in the highlighted cell.	HINT		Single-KC	JCommTable5.R1C0	AD JCommTable5.R1C0
Streak Agent(1)	dbdc435d-8688-f85a-df54-6aa1203395ce	ae1a540b-3f2f-1260-e73d-ca10e93067ad	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 5_6_plus_5_7	1/1/1970 0:00	JCommTable5.R1C0	JCommTable5.R1C0	UpdateTextArea	42		CORRECT		Single-KC	JCommTable5.R1C0	AD JCommTable5.R1C0
Streak Agent(1)	dbdc435d-8688-f85a-df54-6aa1203395ce	b0fa1258-8612-0f92-51a0-366bfb605080	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 5_6_plus_5_7	1/1/1970 0:00	JCommTable5.R0C0				Please enter '30' in the highlighted cell.	HINT		Single-KC	JCommTable5.R0C0	AD JCommTable5.R0C0
Streak Agent(1)	dbdc435d-8688-f85a-df54-6aa1203395ce	5ecedefd-5a0b-53b9-68bf-7ab46c6b3648	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 5_6_plus_5_7	1/1/1970 0:00	JCommTable5.R0C0	JCommTable5.R0C0	UpdateTextArea	30		CORRECT		Single-KC	JCommTable5.R0C0	AD JCommTable5.R0C0
Streak Agent(1)	dbdc435d-8688-f85a-df54-6aa1203395ce	0147586d-d667-228e-35b4-6283903a9e8b	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 5_6_plus_5_7	1/1/1970 0:00	JCommTable6.R1C0				Please enter '42' in the highlighted cell.	HINT		Single-KC	JCommTable6.R1C0	AD JCommTable6.R1C0
Streak Agent(1)	dbdc435d-8688-f85a-df54-6aa1203395ce	40075fe2-fe16-d58f-3931-3475dc227cca	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 5_6_plus_5_7	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	42		CORRECT		Single-KC	JCommTable6.R1C0	AD JCommTable6.R1C0
Streak Agent(1)	dbdc435d-8688-f85a-df54-6aa1203395ce	68292087-57b4-154a-9702-fdd6c84b3a09	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 5_6_plus_5_7	1/1/1970 0:00	JCommTable6.R0C0				Please enter '65' in the highlighted cell.	HINT		Single-KC	JCommTable6.R0C0	AD JCommTable6.R0C0
