	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	Prediction
0	1	BKT Controller(1)	AS 6_5_plus_7_5	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AS JCommTable6.R1C0	1	Single-KC	1	JCommTable6.R1C0	1	0.5552726779050631
1	2	BKT Controller(1)	AS 6_5_plus_7_5	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AS JCommTable6.R0C0	1	Single-KC	2	JCommTable6.R0C0	1	0.5607337362623297
2	3	BKT Controller(1)	AS 6_5_plus_7_5	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS done	1	Single-KC	3	done	1	0.4220850688046719
3	4	BKT Controller(1)	AS 1_2_plus_6_2	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	AS done	2	Single-KC	4	done	2	0.6291025781261729
4	5	BKT Controller(1)	AS 1_2_plus_6_2	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	AS JCommTable6.R1C0	2	Single-KC	5	JCommTable6.R1C0	2	0.5627588789726183
5	6	BKT Controller(1)	AS 1_2_plus_6_2	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	AS JCommTable6.R0C0	2	Single-KC	6	JCommTable6.R0C0	2	0.5764599105857938
6	7	BKT Controller(1)	AS 1_2_plus_6_2	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS done	3	Single-KC	7	done	3	0.7975347892940825
7	8	BKT Controller(1)	M 1_5_times_9_9	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	M  JCommTable6.R1C0	1	Single-KC	8	JCommTable6.R1C0	3	0.3496419047178727
8	9	BKT Controller(1)	M 1_5_times_9_9	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	2	1	1	M  JCommTable6.R0C0	1	Single-KC	9	JCommTable6.R0C0	3	0.26101191752585245
9	10	BKT Controller(1)	M 1_5_times_9_9	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	M  done	1	Single-KC	10	done	4	0.33580334246219534
