	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
0	1	BKT Controller_random revise(1)	M 5_6_times_3_1	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	1	JCommTable6.R0C0	1	M  JCommTable6.R0C0	1	0.1677400958426069
1	2	BKT Controller_random revise(1)	M 5_6_times_3_1	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	2	JCommTable6.R1C0	1	M  JCommTable6.R1C0	1	0.25679844358512605
2	3	BKT Controller_random revise(1)	M 5_6_times_3_1	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	3	done	1	M  done	1	0.34767929184905244
3	4	BKT Controller_random revise(1)	AS 2_9_plus_5_9	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	4	done	2	AS done	1	0.42354280797043486
4	5	BKT Controller_random revise(1)	AS 2_9_plus_5_9	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	5	JCommTable6.R0C0	2	AS JCommTable6.R0C0	1	0.17445947162244757
5	6	BKT Controller_random revise(1)	AS 2_9_plus_5_9	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	6	JCommTable6.R1C0	2	AS JCommTable6.R1C0	1	0.31683887003386396
6	7	BKT Controller_random revise(1)	AS 2_9_plus_5_9	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	7	JCommTable6.R0C0	3	AS JCommTable6.R0C0	2	0.2802884364905122
7	8	BKT Controller_random revise(1)	AS 2_9_plus_5_9	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	8	done	3	AS done	2	0.6523688437407569
8	9	BKT Controller_random revise(1)	M 4_10_times_10_2	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	9	JCommTable6.R1C0	3	M  JCommTable6.R1C0	2	0.3414418199505198
9	10	BKT Controller_random revise(1)	M 4_10_times_10_2	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	Single-KC	10	JCommTable6.R0C0	4	M  JCommTable6.R0C0	2	0.27357748419433175
10	11	BKT Controller_random revise(1)	M 4_10_times_10_2	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	11	done	4	M  done	2	0.5417126485674937
