Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)
1	BKT Controller(1)	AS 8_9_plus_10_9	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	1	JCommTable6.R1C0	1	AS JCommTable6.R1C0	1
2	BKT Controller(1)	AS 8_9_plus_10_9	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	2	JCommTable6.R0C0	1	AS JCommTable6.R0C0	1
3	BKT Controller(1)	AS 8_9_plus_10_9	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	3	done	1	AS done	1
4	BKT Controller(1)	M 9_10_times_8_4	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	4	done	2	M  done	1
5	BKT Controller(1)	M 9_10_times_8_4	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	5	JCommTable6.R1C0	2	M  JCommTable6.R1C0	1
6	BKT Controller(1)	M 9_10_times_8_4	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	2	1	1	Single-KC	6	JCommTable6.R0C0	2	M  JCommTable6.R0C0	1
7	BKT Controller(1)	M 9_10_times_8_4	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	7	JCommTable6.R1C0	3	M  JCommTable6.R1C0	2
8	BKT Controller(1)	M 9_10_times_8_4	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	8	done	3	M  done	2
9	BKT Controller(1)	AS 3_1_plus_10_1	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	9	JCommTable6.R0C0	3	AS JCommTable6.R0C0	2
10	BKT Controller(1)	AS 3_1_plus_10_1	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	10	JCommTable6.R1C0	4	AS JCommTable6.R1C0	2
11	BKT Controller(1)	AS 3_1_plus_10_1	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	11	done	4	AS done	2
12	BKT Controller(1)	AS 3_1_plus_10_1	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	12	JCommTable6.R1C0	5	AS JCommTable6.R1C0	3
13	BKT Controller(1)	AS 3_1_plus_10_1	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	1	1	0	Single-KC	13	JCommTable6.R0C0	4	AS JCommTable6.R0C0	3
14	BKT Controller(1)	AS 3_1_plus_10_1	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	14	done	5	AS done	3
15	BKT Controller(1)	AS 6_6_plus_10_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	0	Single-KC	15	JCommTable6.R1C0	6	AS JCommTable6.R1C0	4
16	BKT Controller(1)	AS 6_6_plus_10_6	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	16	JCommTable6.R0C0	5	AS JCommTable6.R0C0	4
17	BKT Controller(1)	AS 6_6_plus_10_6	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	17	done	6	AS done	4
18	BKT Controller(1)	AD 2_3_plus_9_2	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	2	0	0	Single-KC	18	JCommTable6.R1C0	7	AD JCommTable6.R1C0	1
19	BKT Controller(1)	AD 2_3_plus_9_2	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	19	JCommTable6.R0C0	6	AD JCommTable6.R0C0	1
20	BKT Controller(1)	AD 2_3_plus_9_2	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	1	1	1	Single-KC	20	JCommTable8.R0C0	1	AD JCommTable8.R0C0	1
21	BKT Controller(1)	AD 2_3_plus_9_2	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	1	1	1	Single-KC	21	JCommTable4.R1C0	1	AD JCommTable4.R1C0	1
22	BKT Controller(1)	AD 2_3_plus_9_2	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	1	1	1	Single-KC	22	JCommTable4.R0C0	1	AD JCommTable4.R0C0	1
23	BKT Controller(1)	AD 2_3_plus_9_2	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	1	1	1	Single-KC	23	JCommTable5.R1C0	1	AD JCommTable5.R1C0	1
24	BKT Controller(1)	AD 2_3_plus_9_2	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	1	1	1	Single-KC	24	JCommTable5.R0C0	1	AD JCommTable5.R0C0	1
25	BKT Controller(1)	AD 2_3_plus_9_2	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	Single-KC	25	JCommTable6.R1C0	8	AD JCommTable6.R1C0	2
26	BKT Controller(1)	AD 2_3_plus_9_2	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	26	JCommTable6.R0C0	7	AD JCommTable6.R0C0	2
27	BKT Controller(1)	AD 2_3_plus_9_2	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	27	done	7	AD done	1
