Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)
1	BKT Controller(1)	M 9_10_times_7_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	M  JCommTable6.R0C0	1	Single-KC	1	JCommTable6.R0C0	1
2	BKT Controller(1)	M 9_10_times_7_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	M  JCommTable6.R1C0	1	Single-KC	2	JCommTable6.R1C0	1
3	BKT Controller(1)	M 9_10_times_7_7	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	M  done	1	Single-KC	3	done	1
4	BKT Controller(1)	AD 7_6_plus_10_6	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	AD done	1	Single-KC	4	done	2
5	BKT Controller(1)	AD 7_6_plus_10_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	AD JCommTable6.R1C0	1	Single-KC	5	JCommTable6.R1C0	2
6	BKT Controller(1)	AD 7_6_plus_10_6	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	AD JCommTable6.R0C0	1	Single-KC	6	JCommTable6.R0C0	2
7	BKT Controller(1)	AD 7_6_plus_10_6	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable8.R0C0	1	Single-KC	7	JCommTable8.R0C0	1
8	BKT Controller(1)	AD 7_6_plus_10_6	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable4.R1C0	1	Single-KC	8	JCommTable4.R1C0	1
9	BKT Controller(1)	AD 7_6_plus_10_6	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable4.R0C0	1	Single-KC	9	JCommTable4.R0C0	1
10	BKT Controller(1)	AD 7_6_plus_10_6	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable5.R1C0	1	Single-KC	10	JCommTable5.R1C0	1
