Anon Student Id	Session Id	Transaction Id	Time	Time Zone	Student Response Type	Tutor Response Type	Level (Domain)	Problem Name	Problem Start Time	Step Name	Selection	Action	Input	Feedback Text	Outcome	CF (Problem Context)	KC (Single-KC)	KC (Selected)	KC (ptype_selection)
BKT Controller_random revise(1)	e6c7e75b-90a3-6593-aa53-71e7df0b75cb	4c758752-3169-2c7c-42f4-e0a64ab53d1c	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	M 5_6_times_3_1	1/1/1970 0:00	JCommTable6.R0C0				Please enter '10' in the highlighted cell.	HINT		Single-KC	JCommTable6.R0C0	M  JCommTable6.R0C0
BKT Controller_random revise(1)	e6c7e75b-90a3-6593-aa53-71e7df0b75cb	a8be6232-d9ee-ea81-3cfe-309c712c70bd	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 5_6_times_3_1	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	15		CORRECT		Single-KC	JCommTable6.R0C0	M  JCommTable6.R0C0
BKT Controller_random revise(1)	e6c7e75b-90a3-6593-aa53-71e7df0b75cb	b41fd8a4-cca9-1b94-5856-f2e56906b508	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 5_6_times_3_1	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	15	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable6.R0C0	M  JCommTable6.R0C0
BKT Controller_random revise(1)	e6c7e75b-90a3-6593-aa53-71e7df0b75cb	e5bf5839-2979-88f7-e11e-1685c89d54e8	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	M 5_6_times_3_1	1/1/1970 0:00	JCommTable6.R1C0				Please enter '15' in the highlighted cell.	HINT		Single-KC	JCommTable6.R1C0	M  JCommTable6.R1C0
BKT Controller_random revise(1)	e6c7e75b-90a3-6593-aa53-71e7df0b75cb	414f8c7e-ecbd-2df1-1aaf-99ba642ad48f	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 5_6_times_3_1	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	6		CORRECT		Single-KC	JCommTable6.R1C0	M  JCommTable6.R1C0
BKT Controller_random revise(1)	e6c7e75b-90a3-6593-aa53-71e7df0b75cb	978b6805-ccb1-aae9-c81d-ae57af588d79	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 5_6_times_3_1	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	6	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable6.R1C0	M  JCommTable6.R1C0
BKT Controller_random revise(1)	e6c7e75b-90a3-6593-aa53-71e7df0b75cb	ede6ee24-b50e-2e11-4493-fd8e6918787f	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	M 5_6_times_3_1	1/1/1970 0:00	done				You have answered all the questions. Please click on the Done button to proceed to the next problem.	HINT		Single-KC	done	M  done
BKT Controller_random revise(1)	e6c7e75b-90a3-6593-aa53-71e7df0b75cb	18df3e81-2197-d477-a2ae-8b6b9f0621e1	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 5_6_times_3_1	1/1/1970 0:00	done	done	ButtonPressed	-1		CORRECT		Single-KC	done	M  done
BKT Controller_random revise(1)	e6c7e75b-90a3-6593-aa53-71e7df0b75cb	a6ca14de-3437-f1f7-36e3-1c95344deb71	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AS 2_9_plus_5_9	1/1/1970 0:00	done	done	ButtonPressed	-1	"I'm sorry, but you are not done yet. Please continue working."	INCORRECT		Single-KC	done	AS done
BKT Controller_random revise(1)	e6c7e75b-90a3-6593-aa53-71e7df0b75cb	bfde402a-b9c4-837c-c788-71bfbab1db3c	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AS 2_9_plus_5_9	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	10		INCORRECT		Single-KC	JCommTable6.R0C0	AS JCommTable6.R0C0
