	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	Prediction
39433	1	Streak Agent(1)	AD 6_6_plus_9_6	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable8.R0C0	1	Single-KC	1	JCommTable8.R0C0	1	0.7513079425094377
39434	2	Streak Agent(1)	AD 6_6_plus_9_6	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable4.R1C0	1	Single-KC	2	JCommTable4.R1C0	1	0.35914051422013005
39435	3	Streak Agent(1)	AD 6_6_plus_9_6	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable4.R0C0	1	Single-KC	3	JCommTable4.R0C0	1	0.2471063384351801
39436	4	Streak Agent(1)	AD 6_6_plus_9_6	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable5.R1C0	1	Single-KC	4	JCommTable5.R1C0	1	0.18707909743531487
39437	5	Streak Agent(1)	AD 6_6_plus_9_6	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable5.R0C0	1	Single-KC	5	JCommTable5.R0C0	1	0.16093233132002385
39438	6	Streak Agent(1)	AD 6_6_plus_9_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable6.R1C0	1	Single-KC	6	JCommTable6.R1C0	1	0.4193475448080757
39439	7	Streak Agent(1)	AD 6_6_plus_9_6	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable6.R0C0	1	Single-KC	7	JCommTable6.R0C0	1	0.4624212743609568
39440	8	Streak Agent(1)	AD 6_6_plus_9_6	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AD done	1	Single-KC	8	done	1	0.328121083377975
39441	9	Streak Agent(1)	AD 3_3_plus_7_8	1	done	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	AD done	2	Single-KC	9	done	2	0.4264362345732937
39442	10	Streak Agent(1)	AD 3_3_plus_7_8	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	AD JCommTable8.R0C0	2	Single-KC	10	JCommTable8.R0C0	2	0.7565284448597728
