	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
6697	0	BKT Controller_human(1)	AD 3_3_plus_7_8	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable8.R0C0	1	JCommTable8.R0C0	1	Single-KC	1	0.8132089311097646
6698	1	BKT Controller_human(1)	AD 3_3_plus_7_8	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable4.R1C0	1	JCommTable4.R1C0	1	Single-KC	2	0.33849140804345734
6699	2	BKT Controller_human(1)	AD 3_3_plus_7_8	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable4.R0C0	1	JCommTable4.R0C0	1	Single-KC	3	0.242984601286226
6700	3	BKT Controller_human(1)	AD 3_3_plus_7_8	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable5.R1C0	1	JCommTable5.R1C0	1	Single-KC	4	0.1674796483979008
6701	4	BKT Controller_human(1)	AD 3_3_plus_7_8	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable5.R0C0	1	JCommTable5.R0C0	1	Single-KC	5	0.16994742745257801
6702	5	BKT Controller_human(1)	AD 3_3_plus_7_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable6.R1C0	1	JCommTable6.R1C0	1	Single-KC	6	0.42243686079397064
6703	6	BKT Controller_human(1)	AD 3_3_plus_7_8	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable6.R0C0	1	JCommTable6.R0C0	1	Single-KC	7	0.4787815924020691
6704	7	BKT Controller_human(1)	AD 3_3_plus_7_8	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AD done	1	done	1	Single-KC	8	0.1047937265456919
6705	8	BKT Controller_human(1)	AD 6_4_plus_9_7	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	AD done	2	done	2	Single-KC	9	0.21923747636885701
6706	9	BKT Controller_human(1)	AD 6_4_plus_9_7	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	AD JCommTable4.R0C0	2	JCommTable4.R0C0	2	Single-KC	10	0.32126300604816543
6707	10	BKT Controller_human(1)	AD 6_4_plus_9_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	3	1	1	AD JCommTable6.R0C0	2	JCommTable6.R0C0	2	Single-KC	11	0.49046728944444945
6708	11	BKT Controller_human(1)	AD 6_4_plus_9_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	AD JCommTable6.R1C0	2	JCommTable6.R1C0	2	Single-KC	12	0.43187179324680847
6709	12	BKT Controller_human(1)	AD 6_4_plus_9_7	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	AD JCommTable8.R0C0	2	JCommTable8.R0C0	2	Single-KC	13	0.8161105342491075
6710	13	BKT Controller_human(1)	AD 6_4_plus_9_7	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	3	1	1	AD JCommTable5.R1C0	2	JCommTable5.R1C0	2	Single-KC	14	0.29725634007935536
6711	14	BKT Controller_human(1)	AD 6_4_plus_9_7	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	AD JCommTable5.R0C0	2	JCommTable5.R0C0	2	Single-KC	15	0.23190502267319857
6712	15	BKT Controller_human(1)	AD 6_4_plus_9_7	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	AD JCommTable4.R1C0	2	JCommTable4.R1C0	2	Single-KC	16	0.44622978123180684
6713	16	BKT Controller_human(1)	AD 1_2_plus_2_3	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	AD JCommTable8.R0C0	3	JCommTable8.R0C0	3	Single-KC	17	0.8189770975034961
6714	17	BKT Controller_human(1)	AD 1_2_plus_2_3	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	incorrect	3	1	1	AD JCommTable4.R0C0	3	JCommTable4.R0C0	3	Single-KC	18	0.411065681417735
6715	18	BKT Controller_human(1)	AD 1_2_plus_2_3	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	incorrect	3	1	0	AD JCommTable6.R0C0	3	JCommTable6.R0C0	3	Single-KC	19	0.5021634135228497
6716	19	BKT Controller_human(1)	AD 1_2_plus_2_3	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	AD JCommTable4.R1C0	3	JCommTable4.R1C0	3	Single-KC	20	0.5592682068407279
6717	20	BKT Controller_human(1)	AD 1_2_plus_2_3	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	1	1	0	AD JCommTable5.R1C0	3	JCommTable5.R1C0	3	Single-KC	21	0.4707337861275817
6718	21	BKT Controller_human(1)	AD 1_2_plus_2_3	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	0	AD JCommTable6.R1C0	3	JCommTable6.R1C0	3	Single-KC	22	0.4413564209456651
6719	22	BKT Controller_human(1)	AD 1_2_plus_2_3	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	1	AD JCommTable5.R0C0	3	JCommTable5.R0C0	3	Single-KC	23	0.30806716124348255
6720	23	BKT Controller_human(1)	AD 1_2_plus_2_3	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	0	AD done	3	done	3	Single-KC	24	0.40247315840145614
6721	24	BKT Controller_human(1)	AD 6_5_plus_3_10	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable8.R0C0	4	JCommTable8.R0C0	4	Single-KC	25	0.8218087320159897
6722	25	BKT Controller_human(1)	AD 6_5_plus_3_10	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable4.R1C0	4	JCommTable4.R1C0	4	Single-KC	26	0.6664786216463967
6723	26	BKT Controller_human(1)	AD 6_5_plus_3_10	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable5.R1C0	4	JCommTable5.R1C0	4	Single-KC	27	0.65158184976169
6724	27	BKT Controller_human(1)	AD 6_5_plus_3_10	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable4.R0C0	4	JCommTable4.R0C0	4	Single-KC	28	0.5072120700754008
6725	28	BKT Controller_human(1)	AD 6_5_plus_3_10	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	0	AD JCommTable6.R1C0	4	JCommTable6.R1C0	4	Single-KC	29	0.45088403500213775
6726	29	BKT Controller_human(1)	AD 6_5_plus_3_10	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable5.R0C0	4	JCommTable5.R0C0	4	Single-KC	30	0.39633569918487194
6727	30	BKT Controller_human(1)	AD 6_5_plus_3_10	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	0	AD done	4	done	4	Single-KC	31	0.6176944902502979
6728	31	BKT Controller_human(1)	AD 6_5_plus_3_10	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable6.R0C0	4	JCommTable6.R0C0	4	Single-KC	32	0.5138571704081559
6729	32	BKT Controller_human(1)	AD 8_6_plus_9_10	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable8.R0C0	5	JCommTable8.R0C0	5	Single-KC	33	0.8246055589793435
6730	33	BKT Controller_human(1)	AD 8_6_plus_9_10	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable4.R1C0	5	JCommTable4.R1C0	5	Single-KC	34	0.7588544957595915
6731	34	BKT Controller_human(1)	AD 8_6_plus_9_10	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable5.R1C0	5	JCommTable5.R1C0	5	Single-KC	35	0.7972505773277622
6732	35	BKT Controller_human(1)	AD 8_6_plus_9_10	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable4.R0C0	5	JCommTable4.R0C0	5	Single-KC	36	0.6028279369325883
6733	36	BKT Controller_human(1)	AD 8_6_plus_9_10	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable5.R0C0	5	JCommTable5.R0C0	5	Single-KC	37	0.4919151388481592
6734	37	BKT Controller_human(1)	AD 8_6_plus_9_10	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable6.R1C0	5	JCommTable6.R1C0	5	Single-KC	38	0.4604478014363456
6735	38	BKT Controller_human(1)	AD 8_6_plus_9_10	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable6.R0C0	5	JCommTable6.R0C0	5	Single-KC	39	0.5255357762233316
