	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
3431	0	BKT Controller_random(1)	AD 5_5_plus_6_9	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable8.R0C0	1	JCommTable8.R0C0	1	Single-KC	1	0.7880193318312697
3432	1	BKT Controller_random(1)	AD 5_5_plus_6_9	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable4.R1C0	1	JCommTable4.R1C0	1	Single-KC	2	0.3040693797543553
3433	2	BKT Controller_random(1)	AD 5_5_plus_6_9	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable4.R0C0	1	JCommTable4.R0C0	1	Single-KC	3	0.21511653770996375
3434	3	BKT Controller_random(1)	AD 5_5_plus_6_9	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable5.R1C0	1	JCommTable5.R1C0	1	Single-KC	4	0.14659436321255773
3435	4	BKT Controller_random(1)	AD 5_5_plus_6_9	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable5.R0C0	1	JCommTable5.R0C0	1	Single-KC	5	0.14880940905636753
3436	5	BKT Controller_random(1)	AD 5_5_plus_6_9	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable6.R1C0	1	JCommTable6.R1C0	1	Single-KC	6	0.3844393153590598
3437	6	BKT Controller_random(1)	AD 5_5_plus_6_9	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AD JCommTable6.R0C0	1	JCommTable6.R0C0	1	Single-KC	7	0.4395731838332658
3438	7	BKT Controller_random(1)	AD 5_5_plus_6_9	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AD done	1	done	1	Single-KC	8	0.09087232288724774
3439	8	BKT Controller_random(1)	AD 3_4_plus_2_6	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	0	AD done	2	done	2	Single-KC	9	0.19339718600822225
3440	9	BKT Controller_random(1)	AD 3_4_plus_2_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	3	1	1	AD JCommTable6.R1C0	2	JCommTable6.R1C0	2	Single-KC	10	0.3936039425077628
3441	10	BKT Controller_random(1)	AD 3_4_plus_2_6	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	3	1	1	AD JCommTable6.R0C0	2	JCommTable6.R0C0	2	Single-KC	11	0.45113019774570695
3442	11	BKT Controller_random(1)	AD 3_4_plus_2_6	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	AD JCommTable8.R0C0	2	JCommTable8.R0C0	2	Single-KC	12	0.791211765739469
3443	12	BKT Controller_random(1)	AD 3_4_plus_2_6	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	0	AD JCommTable5.R0C0	2	JCommTable5.R0C0	2	Single-KC	13	0.2049636318093059
3444	13	BKT Controller_random(1)	AD 3_4_plus_2_6	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	AD JCommTable4.R1C0	2	JCommTable4.R1C0	2	Single-KC	14	0.4076024534322958
3445	14	BKT Controller_random(1)	AD 3_4_plus_2_6	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	AD JCommTable4.R0C0	2	JCommTable4.R0C0	2	Single-KC	15	0.28783065997415747
3446	15	BKT Controller_random(1)	AD 3_4_plus_2_6	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	AD JCommTable5.R1C0	2	JCommTable5.R1C0	2	Single-KC	16	0.26534558493610266
3447	16	BKT Controller_random(1)	AD 8_7_plus_3_3	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	AD JCommTable4.R1C0	3	JCommTable4.R1C0	3	Single-KC	17	0.5200449590982084
3448	17	BKT Controller_random(1)	AD 8_7_plus_3_3	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	AD JCommTable8.R0C0	3	JCommTable8.R0C0	3	Single-KC	18	0.7943686673641572
3449	18	BKT Controller_random(1)	AD 8_7_plus_3_3	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	incorrect	2	1	1	AD JCommTable5.R1C0	3	JCommTable5.R1C0	3	Single-KC	19	0.4316386461347112
3450	19	BKT Controller_random(1)	AD 8_7_plus_3_3	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	1	AD JCommTable6.R1C0	3	JCommTable6.R1C0	3	Single-KC	20	0.40284406711829845
3451	20	BKT Controller_random(1)	AD 8_7_plus_3_3	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	incorrect	3	1	1	AD JCommTable6.R0C0	3	JCommTable6.R0C0	3	Single-KC	21	0.4627401751183351
