Anon Student Id	Session Id	Transaction Id	Time	Time Zone	Student Response Type	Tutor Response Type	Level (Domain)	Problem Name	Problem Start Time	Step Name	Selection	Action	Input	Feedback Text	Outcome	CF (Problem Context)	KC (Single-KC)	KC (Selected)	KC (ptype_selection)
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	8fbabba9-bec5-a397-79f7-b9de52f6f367	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable8.R0C0				Please enter 'x' in the highlighted cell.	HINT		Single-KC	JCommTable8.R0C0	AD JCommTable8.R0C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	0765e9e9-534c-6f5a-7bf2-ce55a8a58fbe	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable8.R0C0	JCommTable8.R0C0	UpdateTextArea	x		CORRECT		Single-KC	JCommTable8.R0C0	AD JCommTable8.R0C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	d4911b01-eb1d-a5be-a56e-90045aab0275	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable8.R0C0	JCommTable8.R0C0	UpdateTextArea	x		INCORRECT		Single-KC	JCommTable8.R0C0	AD JCommTable8.R0C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	84adae86-5152-13ca-176f-67c8d2631da6	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable4.R1C0				Please enter '6' in the highlighted cell.	HINT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	8706bf03-5fe0-fec4-936d-349ea26ddec7	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable4.R1C0	JCommTable4.R1C0	UpdateTextArea	24		CORRECT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	52c100b8-34ba-a5ad-0471-66e232b6e967	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable4.R1C0	JCommTable4.R1C0	UpdateTextArea	24		INCORRECT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	c0f49b4f-c422-f12f-ee6a-b6fa6d3c908c	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable4.R0C0				Please enter '3' in the highlighted cell.	HINT		Single-KC	JCommTable4.R0C0	AD JCommTable4.R0C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	58fa4ee1-033a-9090-d3d4-62ef254c4282	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable4.R0C0	JCommTable4.R0C0	UpdateTextArea	24		CORRECT		Single-KC	JCommTable4.R0C0	AD JCommTable4.R0C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	727c4022-daf1-083b-b44f-4057182391aa	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable4.R0C0	JCommTable4.R0C0	UpdateTextArea	24	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable4.R0C0	AD JCommTable4.R0C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	42281b55-377c-6743-d298-3b4e7fd1e000	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable5.R1C0				Please enter '6' in the highlighted cell.	HINT		Single-KC	JCommTable5.R1C0	AD JCommTable5.R1C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	22726642-5fe2-e5f1-6bb5-351829896dac	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable5.R1C0	JCommTable5.R1C0	UpdateTextArea	24		CORRECT		Single-KC	JCommTable5.R1C0	AD JCommTable5.R1C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	5c70197f-2929-f572-ed6e-3e0cfc951ceb	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable5.R1C0	JCommTable5.R1C0	UpdateTextArea	24	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable5.R1C0	AD JCommTable5.R1C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	5dcdef94-b8fc-005e-6504-dad38f6a9462	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable5.R0C0				Please enter '4' in the highlighted cell.	HINT		Single-KC	JCommTable5.R0C0	AD JCommTable5.R0C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	32c116a6-236d-92ef-839f-a98cef61bdcb	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable5.R0C0	JCommTable5.R0C0	UpdateTextArea	21		CORRECT		Single-KC	JCommTable5.R0C0	AD JCommTable5.R0C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	fc667141-d3df-fc52-63bd-4f68f90d0ba6	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable5.R0C0	JCommTable5.R0C0	UpdateTextArea	21		INCORRECT		Single-KC	JCommTable5.R0C0	AD JCommTable5.R0C0
BKT Controller_human(1)	c397ccb3-653a-62f5-66d5-3572ec8fb02c	17141b79-b484-f2c8-3587-b5d8fb0be4d5	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 3_3_plus_7_8	1/1/1970 0:00	JCommTable6.R1C0				Please enter '6' in the highlighted cell.	HINT		Single-KC	JCommTable6.R1C0	AD JCommTable6.R1C0
