	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max
KC (ptype_selection)	AD JCommTable4.R0C0	AD JCommTable4.R1C0	AD JCommTable5.R0C0	AD JCommTable5.R1C0	AD JCommTable6.R0C0	AD JCommTable6.R1C0	AD JCommTable8.R0C0	AD done	AS JCommTable4.R0C0	AS JCommTable4.R1C0	AS JCommTable5.R0C0	AS JCommTable5.R1C0	AS JCommTable6.R0C0	AS JCommTable6.R1C0	AS JCommTable8.R0C0	AS done	M  JCommTable4.R0C0	M  JCommTable4.R1C0	M  JCommTable5.R0C0	M  JCommTable5.R1C0	M  JCommTable6.R0C0	M  JCommTable6.R1C0	M  JCommTable8.R0C0	M  done
Anon Student Id																								
Default BKT Controller(1)	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0		2.0			11.0	11.0	3.0	11.0		1.0			6.0	6.0	2.0	6.0
Default BKT Controller(10)	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	3.0	1.0	1.0	1.0	1.0	5.0	5.0	1.0	5.0
Default BKT Controller(11)	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0					5.0	5.0	2.0	5.0					6.0	6.0	2.0	6.0
Default BKT Controller(12)	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	2.0	2.0	2.0		5.0	5.0	4.0	5.0	2.0	2.0	3.0		6.0	6.0	2.0	6.0
Default BKT Controller(13)	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0		1.0	1.0		6.0	6.0	3.0	6.0		1.0			9.0	9.0	2.0	9.0
Default BKT Controller(14)	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0			1.0		8.0	8.0	3.0	8.0			1.0		8.0	8.0	1.0	8.0
Default BKT Controller(15)	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	1.0	1.0		1.0	7.0	7.0	2.0	7.0					5.0	5.0	1.0	5.0
Default BKT Controller(16)	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0		1.0	1.0		5.0	5.0	2.0	5.0	1.0	1.0	1.0		7.0	7.0	1.0	7.0
Default BKT Controller(17)	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	2.0	2.0			7.0	7.0	4.0	7.0					8.0	8.0	2.0	8.0
Default BKT Controller(18)	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0					6.0	6.0	3.0	6.0					6.0	6.0	2.0	6.0
Default BKT Controller(19)	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0		2.0			5.0	5.0	3.0	5.0		1.0			5.0	5.0	2.0	5.0
Default BKT Controller(2)	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0					3.0	3.0	2.0	3.0	2.0				3.0	3.0	2.0	3.0
Default BKT Controller(20)	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	2.0	2.0			5.0	5.0	4.0	5.0					8.0	8.0	2.0	8.0
Default BKT Controller(21)	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0					5.0	5.0	2.0	5.0	1.0				7.0	7.0	1.0	7.0
Default BKT Controller(22)	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0		1.0	1.0	1.0	7.0	7.0	2.0	7.0	1.0	1.0	1.0		5.0	5.0	1.0	5.0
Default BKT Controller(23)	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0					7.0	7.0	4.0	7.0					6.0	6.0	3.0	6.0
Default BKT Controller(24)	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	1.0	3.0			9.0	9.0	3.0	9.0					4.0	4.0	3.0	4.0
Default BKT Controller(25)	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0					3.0	3.0	2.0	3.0					8.0	8.0	2.0	8.0
Default BKT Controller(26)	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0		1.0	1.0	1.0	9.0	9.0	5.0	9.0	1.0	1.0	2.0		8.0	8.0	1.0	8.0
Default BKT Controller(27)	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	2.0				11.0	11.0	3.0	11.0	3.0				9.0	9.0	2.0	9.0
Default BKT Controller(28)	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	2.0				7.0	7.0	3.0	7.0					8.0	8.0	2.0	8.0
Default BKT Controller(29)	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0			1.0		6.0	6.0	1.0	6.0			1.0		7.0	7.0	1.0	7.0
Default BKT Controller(3)	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0					5.0	5.0	3.0	5.0					8.0	8.0	2.0	8.0
