	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max
KC (ptype_selection)	AD JCommTable4.R0C0	AD JCommTable4.R1C0	AD JCommTable5.R0C0	AD JCommTable5.R1C0	AD JCommTable6.R0C0	AD JCommTable6.R1C0	AD JCommTable8.R0C0	AD done	AS JCommTable4.R0C0	AS JCommTable4.R1C0	AS JCommTable5.R0C0	AS JCommTable5.R1C0	AS JCommTable6.R0C0	AS JCommTable6.R1C0	AS JCommTable8.R0C0	AS done	M  JCommTable4.R0C0	M  JCommTable4.R1C0	M  JCommTable5.R0C0	M  JCommTable5.R1C0	M  JCommTable6.R0C0	M  JCommTable6.R1C0	M  JCommTable8.R0C0	M  done
Anon Student Id																								
DKT Controller_random(1)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0					4.0	4.0		4.0	1.0	2.0	1.0	1.0	4.0	4.0	1.0	4.0
DKT Controller_random(10)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	3.0				1.0	4.0	4.0	1.0	4.0
DKT Controller_random(11)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0									1.0	2.0	1.0	1.0	3.0	3.0	1.0	3.0
DKT Controller_random(12)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0	1.0	1.0	3.0	3.0	2.0	3.0					1.0	1.0		1.0
DKT Controller_random(13)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0					4.0	4.0	1.0	4.0			2.0		3.0	3.0	1.0	3.0
DKT Controller_random(14)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0					3.0	3.0	1.0	3.0	1.0	1.0	1.0	1.0	4.0	4.0	1.0	4.0
DKT Controller_random(15)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0					1.0	1.0	1.0	1.0	1.0				1.0	1.0	1.0	1.0
DKT Controller_random(16)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0		1.0		1.0	1.0	1.0	1.0	1.0		1.0		2.0	2.0	1.0	2.0
DKT Controller_random(17)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DKT Controller_random(18)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0			4.0	4.0	2.0	4.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0
DKT Controller_random(19)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0		2.0	2.0	1.0	4.0	4.0	2.0	4.0		1.0		1.0	3.0	3.0		3.0
DKT Controller_random(2)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0	1.0	1.0	6.0	6.0	2.0	6.0	1.0		1.0	1.0	2.0	2.0	1.0	2.0
DKT Controller_random(20)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0					1.0	1.0		1.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	3.0
DKT Controller_random(21)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0									1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DKT Controller_random(22)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	2.0			3.0	3.0	2.0	3.0					2.0	2.0	1.0	2.0
DKT Controller_random(23)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0		1.0			2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0
DKT Controller_random(24)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	2.0	3.0	1.0	3.0	3.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DKT Controller_random(25)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	3.0	2.0	2.0	1.0	1.0	3.0	3.0	1.0	3.0
DKT Controller_random(26)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0	2.0	1.0	3.0	3.0	1.0	3.0					3.0	3.0		3.0
DKT Controller_random(27)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0					3.0	3.0	1.0	3.0					2.0	2.0	1.0	2.0
DKT Controller_random(28)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0				2.0	2.0	2.0	2.0					3.0	3.0		3.0
DKT Controller_random(29)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0			2.0	2.0	1.0	2.0	1.0	1.0			1.0	1.0	1.0	1.0
