	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max
KC (ptype_selection)	AD JCommTable4.R0C0	AD JCommTable4.R1C0	AD JCommTable5.R0C0	AD JCommTable5.R1C0	AD JCommTable6.R0C0	AD JCommTable6.R1C0	AD JCommTable8.R0C0	AD done	AS JCommTable4.R0C0	AS JCommTable4.R1C0	AS JCommTable5.R0C0	AS JCommTable5.R1C0	AS JCommTable6.R0C0	AS JCommTable6.R1C0	AS JCommTable8.R0C0	AS done	M  JCommTable4.R0C0	M  JCommTable4.R1C0	M  JCommTable5.R0C0	M  JCommTable5.R1C0	M  JCommTable6.R0C0	M  JCommTable6.R1C0	M  JCommTable8.R0C0	M  done
Anon Student Id																								
Random Controller(1)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	4.0		1.0		80.0	80.0	11.0	80.0	1.0		1.0		80.0	80.0	2.0	80.0
Random Controller(10)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	4.0	3.0	2.0	1.0	80.0	80.0	11.0	80.0					80.0	80.0	2.0	80.0
Random Controller(11)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0	1.0	1.0	80.0	80.0	9.0	80.0		1.0			80.0	80.0	3.0	80.0
Random Controller(12)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0		3.0	4.0		80.0	80.0	12.0	80.0					80.0	80.0	2.0	80.0
Random Controller(13)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	2.0	1.0	2.0	1.0	80.0	80.0	14.0	80.0			3.0		80.0	80.0	4.0	80.0
Random Controller(14)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0	1.0	1.0	80.0	80.0	14.0	80.0					80.0	80.0	1.0	80.0
Random Controller(15)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	7.0	2.0	3.0	1.0	80.0	80.0	17.0	80.0	3.0	3.0	5.0		80.0	80.0	3.0	80.0
Random Controller(16)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0					80.0	80.0	11.0	80.0	1.0	1.0	1.0	1.0	80.0	80.0	2.0	80.0
Random Controller(17)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0			80.0	80.0	13.0	80.0		1.0			80.0	80.0	2.0	80.0
Random Controller(18)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0		2.0			80.0	80.0	12.0	80.0	1.0	1.0	1.0	1.0	80.0	80.0	3.0	80.0
Random Controller(19)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0			1.0		80.0	80.0	10.0	80.0			2.0		80.0	80.0	2.0	80.0
Random Controller(2)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0	1.0		80.0	80.0	12.0	80.0	1.0	1.0	2.0	2.0	80.0	80.0	2.0	80.0
Random Controller(20)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0			2.0		80.0	80.0	10.0	80.0					80.0	80.0	2.0	80.0
Random Controller(21)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0		1.0	80.0	80.0	11.0	80.0	2.0	2.0	1.0	2.0	80.0	80.0	1.0	80.0
Random Controller(22)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	4.0	1.0		1.0	80.0	80.0	13.0	80.0	1.0	1.0	1.0	2.0	80.0	80.0	2.0	80.0
Random Controller(23)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0		1.0	2.0		80.0	80.0	10.0	80.0	2.0	3.0	3.0	1.0	80.0	80.0	3.0	80.0
Random Controller(24)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	2.0	1.0		80.0	80.0	14.0	80.0	1.0	1.0			80.0	80.0	1.0	80.0
Random Controller(25)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0	2.0	1.0	80.0	80.0	13.0	80.0	1.0	2.0	2.0	1.0	80.0	80.0	1.0	80.0
Random Controller(26)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	1.0	1.0		1.0	80.0	80.0	11.0	80.0	1.0	1.0	1.0	2.0	80.0	80.0	3.0	80.0
Random Controller(27)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	2.0	1.0	1.0	1.0	80.0	80.0	12.0	80.0				1.0	80.0	80.0	2.0	80.0
Random Controller(28)	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0		1.0		1.0	80.0	80.0	12.0	80.0		3.0		2.0	80.0	80.0	3.0	80.0
