	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max	max
KC (ptype_selection)	AD JCommTable4.R0C0	AD JCommTable4.R1C0	AD JCommTable5.R0C0	AD JCommTable5.R1C0	AD JCommTable6.R0C0	AD JCommTable6.R1C0	AD JCommTable8.R0C0	AD done	AS JCommTable4.R0C0	AS JCommTable4.R1C0	AS JCommTable5.R0C0	AS JCommTable5.R1C0	AS JCommTable6.R0C0	AS JCommTable6.R1C0	AS JCommTable8.R0C0	AS done	M  JCommTable4.R0C0	M  JCommTable4.R1C0	M  JCommTable5.R0C0	M  JCommTable6.R0C0	M  JCommTable6.R1C0	M  JCommTable8.R0C0	M  done
Anon Student Id																							
Streak Agent(1)	14.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0					6.0	6.0	2.0	6.0				5.0	5.0	1.0	5.0
Streak Agent(10)	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0	1.0	1.0	1.0		5.0	5.0	3.0	5.0	1.0	1.0		5.0	5.0	3.0	5.0
Streak Agent(11)	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0					9.0	9.0	4.0	9.0				8.0	8.0	4.0	8.0
Streak Agent(12)	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0	1.0	2.0	1.0		8.0	8.0	2.0	8.0		1.0	1.0	5.0	5.0	2.0	5.0
Streak Agent(13)	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0		1.0			21.0	21.0	5.0	21.0		2.0		11.0	11.0	3.0	11.0
Streak Agent(14)	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0					5.0	5.0	3.0	5.0				10.0	10.0	2.0	10.0
Streak Agent(15)	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	2.0				7.0	7.0	2.0	7.0				4.0	4.0	2.0	4.0
Streak Agent(16)	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0		1.0			6.0	6.0	2.0	6.0		1.0		6.0	6.0	2.0	6.0
Streak Agent(17)	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0		1.0			4.0	4.0	2.0	4.0	1.0	1.0		6.0	6.0	2.0	6.0
Streak Agent(18)	15.0	15.0	15.0	15.0	15.0	15.0	15.0	15.0					10.0	10.0	2.0	10.0				16.0	16.0	2.0	16.0
Streak Agent(19)	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	1.0	1.0		1.0	15.0	15.0	6.0	15.0	1.0	1.0		18.0	18.0	2.0	18.0
Streak Agent(2)	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0		1.0			6.0	6.0	4.0	6.0		3.0		8.0	8.0	3.0	8.0
Streak Agent(20)	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	2.0	1.0	1.0		11.0	11.0	3.0	11.0	2.0	1.0		11.0	11.0	2.0	11.0
Streak Agent(21)	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	1.0				7.0	7.0	4.0	7.0				11.0	11.0	2.0	11.0
Streak Agent(22)	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	2.0				8.0	8.0	4.0	8.0	1.0			6.0	6.0	3.0	6.0
Streak Agent(23)	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0		1.0			23.0	23.0	2.0	23.0				17.0	17.0	3.0	17.0
Streak Agent(24)	21.0	21.0	21.0	21.0	21.0	21.0	21.0	21.0					12.0	12.0	4.0	12.0				8.0	8.0	2.0	8.0
Streak Agent(25)	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	1.0		1.0		23.0	23.0	4.0	23.0	2.0			13.0	13.0	2.0	13.0
Streak Agent(26)	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0		2.0	1.0		8.0	8.0	6.0	8.0		1.0	2.0	5.0	5.0	2.0	5.0
Streak Agent(27)	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0					14.0	14.0	6.0	14.0				10.0	10.0	2.0	10.0
Streak Agent(28)	16.0	16.0	16.0	16.0	16.0	16.0	16.0	16.0					7.0	7.0	3.0	7.0	1.0	2.0		8.0	8.0	2.0	8.0
Streak Agent(29)	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0		2.0			14.0	14.0	6.0	14.0		1.0		12.0	12.0	1.0	12.0
Streak Agent(3)	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0					4.0	4.0	3.0	4.0				6.0	6.0	2.0	6.0
Streak Agent(30)	18.0	18.0	18.0	18.0	18.0	18.0	18.0	18.0	1.0	1.0			10.0	10.0	5.0	10.0		1.0		7.0	7.0	1.0	7.0
Streak Agent(4)	19.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0					22.0	22.0	3.0	22.0				19.0	19.0	2.0	19.0
Streak Agent(5)	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0		3.0			16.0	16.0	2.0	16.0		1.0		12.0	12.0	1.0	12.0
Streak Agent(6)	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0		1.0			5.0	5.0	2.0	5.0		2.0		9.0	9.0	2.0	9.0
Streak Agent(7)	17.0	17.0	17.0	17.0	17.0	17.0	17.0	17.0					9.0	9.0	4.0	9.0				6.0	6.0	3.0	6.0
Streak Agent(8)	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	2.0	1.0			9.0	9.0	4.0	9.0	1.0	2.0		10.0	10.0	4.0	10.0
Streak Agent(9)	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0		1.0	1.0		7.0	7.0	2.0	7.0		1.0	3.0	6.0	6.0	2.0	6.0
