Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)
0	DKT Controller_random(1)	AS 3_9_plus_3_9	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AS JCommTable6.R1C0	1	JCommTable6.R1C0	1	Single-KC	1
1	DKT Controller_random(1)	AS 3_9_plus_3_9	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	AS JCommTable6.R0C0	1	JCommTable6.R0C0	1	Single-KC	2
2	DKT Controller_random(1)	AS 3_9_plus_3_9	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS done	1	done	1	Single-KC	3
3	DKT Controller_random(1)	AS 2_2_plus_1_2	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	0	AS done	2	done	2	Single-KC	4
4	DKT Controller_random(1)	AS 2_2_plus_1_2	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	AS JCommTable6.R0C0	2	JCommTable6.R0C0	2	Single-KC	5
5	DKT Controller_random(1)	AS 2_2_plus_1_2	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	1	1	0	AS JCommTable6.R1C0	2	JCommTable6.R1C0	2	Single-KC	6
6	DKT Controller_random(1)	AS 4_3_plus_5_3	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	1	1	0	AS JCommTable6.R0C0	3	JCommTable6.R0C0	3	Single-KC	7
7	DKT Controller_random(1)	AS 4_3_plus_5_3	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	AS JCommTable6.R1C0	3	JCommTable6.R1C0	3	Single-KC	8
8	DKT Controller_random(1)	AS 4_3_plus_5_3	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	AS done	3	done	3	Single-KC	9
9	DKT Controller_random(1)	AS 7_4_plus_2_4	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	AS JCommTable6.R0C0	4	JCommTable6.R0C0	4	Single-KC	10
