	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
0	0	Default BKT Controller(1)	AD 6_8_plus_1_1	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	1	JCommTable8.R0C0	1	AD JCommTable8.R0C0	1	0.6577413882936612
1	1	Default BKT Controller(1)	AD 6_8_plus_1_1	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	2	JCommTable4.R1C0	1	AD JCommTable4.R1C0	1	0.2710819725160539
2	2	Default BKT Controller(1)	AD 6_8_plus_1_1	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	3	JCommTable4.R0C0	1	AD JCommTable4.R0C0	1	0.19774880485636523
3	3	Default BKT Controller(1)	AD 6_8_plus_1_1	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	4	JCommTable5.R1C0	1	AD JCommTable5.R1C0	1	0.15116758577217135
4	4	Default BKT Controller(1)	AD 6_8_plus_1_1	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	5	JCommTable5.R0C0	1	AD JCommTable5.R0C0	1	0.1425782795039198
5	5	Default BKT Controller(1)	AD 6_8_plus_1_1	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	6	JCommTable6.R1C0	1	AD JCommTable6.R1C0	1	0.31341652823742516
6	6	Default BKT Controller(1)	AD 6_8_plus_1_1	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	7	JCommTable6.R0C0	1	AD JCommTable6.R0C0	1	0.39755138805388535
7	7	Default BKT Controller(1)	AD 6_8_plus_1_1	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	8	done	1	AD done	1	0.2967841449837224
8	8	Default BKT Controller(1)	AS 9_7_plus_9_7	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	Single-KC	9	done	2	AS done	1	0.39856485436709455
9	9	Default BKT Controller(1)	AS 9_7_plus_9_7	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	10	JCommTable8.R0C0	2	AS JCommTable8.R0C0	1	9.554970280462728e-73
10	10	Default BKT Controller(1)	AS 9_7_plus_9_7	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	11	JCommTable4.R1C0	2	AS JCommTable4.R1C0	1	2.1242162236956517e-20
11	11	Default BKT Controller(1)	AS 9_7_plus_9_7	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	12	JCommTable5.R1C0	2	AS JCommTable5.R1C0	1	8.138223236701672e-08
12	12	Default BKT Controller(1)	AS 9_7_plus_9_7	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	13	JCommTable5.R0C0	2	AS JCommTable5.R0C0	1	1.2751115474671904e-10
13	13	Default BKT Controller(1)	AS 9_7_plus_9_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	14	JCommTable6.R0C0	2	AS JCommTable6.R0C0	1	0.5738527440208334
14	14	Default BKT Controller(1)	AS 9_7_plus_9_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	15	JCommTable6.R1C0	2	AS JCommTable6.R1C0	1	0.5568218932669197
15	15	Default BKT Controller(1)	AS 9_7_plus_9_7	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	16	JCommTable4.R0C0	2	AS JCommTable4.R0C0	1	6.060502210538075e-22
16	16	Default BKT Controller(1)	M 10_8_times_8_2	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	17	JCommTable6.R1C0	3	M  JCommTable6.R1C0	1	0.4323075349789704
17	17	Default BKT Controller(1)	M 10_8_times_8_2	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	18	JCommTable6.R0C0	3	M  JCommTable6.R0C0	1	0.25458338361938376
18	18	Default BKT Controller(1)	M 10_8_times_8_2	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	19	JCommTable5.R1C0	3	M  JCommTable5.R1C0	1	3.954223337305441e-08
19	19	Default BKT Controller(1)	M 10_8_times_8_2	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	20	JCommTable8.R0C0	3	M  JCommTable8.R0C0	1	3.050433550968271e-66
20	20	Default BKT Controller(1)	M 10_8_times_8_2	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	0	Single-KC	21	done	3	M  done	1	0.3512355701889605
21	21	Default BKT Controller(1)	M 3_10_times_8_6	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	22	JCommTable6.R1C0	4	M  JCommTable6.R1C0	2	0.4746320263552102
22	22	Default BKT Controller(1)	M 3_10_times_8_6	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	1	1	0	Single-KC	23	JCommTable6.R0C0	4	M  JCommTable6.R0C0	2	0.3270141725762205
23	23	Default BKT Controller(1)	M 3_10_times_8_6	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	24	done	4	M  done	2	0.5417953582738048
24	24	Default BKT Controller(1)	AD 1_9_plus_7_9	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	incorrect	3	1	1	Single-KC	25	JCommTable6.R0C0	5	AD JCommTable6.R0C0	2	0.4088562277886199
25	25	Default BKT Controller(1)	AD 1_9_plus_7_9	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	1	Single-KC	26	JCommTable6.R1C0	5	AD JCommTable6.R1C0	2	0.32262190792640216
26	26	Default BKT Controller(1)	AD 1_9_plus_7_9	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	hint	1	1	1	Single-KC	27	JCommTable8.R0C0	4	AD JCommTable8.R0C0	2	0.6644108648701779
27	27	Default BKT Controller(1)	AD 1_9_plus_7_9	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	4	1	1	Single-KC	28	JCommTable5.R0C0	3	AD JCommTable5.R0C0	2	0.18431428431413927
28	28	Default BKT Controller(1)	AD 1_9_plus_7_9	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	1	Single-KC	29	JCommTable5.R1C0	4	AD JCommTable5.R1C0	2	0.2671307292308495
29	29	Default BKT Controller(1)	AD 1_9_plus_7_9	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	1	1	1	Single-KC	30	JCommTable4.R1C0	3	AD JCommTable4.R1C0	2	0.3582772040901058
30	30	Default BKT Controller(1)	AD 1_9_plus_7_9	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	1	1	1	Single-KC	31	JCommTable4.R0C0	3	AD JCommTable4.R0C0	2	0.25562753420671114
31	31	Default BKT Controller(1)	AD 1_9_plus_7_9	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	1	Single-KC	32	done	5	AD done	2	0.46122851234540035
32	32	Default BKT Controller(1)	AD 6_9_plus_7_1	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:03	1/1/1970 0:03	incorrect	3	1	0	Single-KC	33	JCommTable4.R0C0	4	AD JCommTable4.R0C0	3	0.3236132312757131
33	33	Default BKT Controller(1)	AD 6_9_plus_7_1	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:03	1/1/1970 0:03	incorrect	3	1	1	Single-KC	34	JCommTable6.R0C0	6	AD JCommTable6.R0C0	3	0.4202582842187882
34	34	Default BKT Controller(1)	AD 6_9_plus_7_1	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	1	Single-KC	35	JCommTable4.R1C0	4	AD JCommTable4.R1C0	3	0.4559745993853249
35	35	Default BKT Controller(1)	AD 6_9_plus_7_1	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	1	Single-KC	36	JCommTable5.R0C0	4	AD JCommTable5.R0C0	3	0.23492010046907477
36	36	Default BKT Controller(1)	AD 6_9_plus_7_1	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	37	JCommTable8.R0C0	5	AD JCommTable8.R0C0	3	0.6710153810524087
37	37	Default BKT Controller(1)	AD 6_9_plus_7_1	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	Single-KC	38	JCommTable6.R1C0	6	AD JCommTable6.R1C0	3	0.33196693318407616
38	38	Default BKT Controller(1)	AD 6_9_plus_7_1	1	JCommTable5.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	39	JCommTable5.R1C0	5	AD JCommTable5.R1C0	3	0.4272730907573298
39	39	Default BKT Controller(1)	AD 6_9_plus_7_1	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	40	done	6	AD done	3	0.6345677062772453
40	40	Default BKT Controller(1)	M 8_2_times_1_7	1	JCommTable5.R0C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	Single-KC	41	JCommTable5.R0C0	5	M  JCommTable5.R0C0	1	8.139422786237577e-14
41	41	Default BKT Controller(1)	M 8_2_times_1_7	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	42	JCommTable6.R0C0	7	M  JCommTable6.R0C0	3	0.40875206825579696
42	42	Default BKT Controller(1)	M 8_2_times_1_7	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	43	JCommTable6.R1C0	7	M  JCommTable6.R1C0	3	0.517324167949855
43	43	Default BKT Controller(1)	M 8_2_times_1_7	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	44	done	7	M  done	3	0.7208652250240773
44	44	Default BKT Controller(1)	AD 8_6_plus_6_7	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:04	1/1/1970 0:04	incorrect	3	1	0	Single-KC	45	JCommTable6.R1C0	8	AD JCommTable6.R1C0	4	0.34144620006447846
45	45	Default BKT Controller(1)	AD 8_6_plus_6_7	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	0	Single-KC	46	JCommTable6.R0C0	8	AD JCommTable6.R0C0	4	0.43174608088267385
46	46	Default BKT Controller(1)	AD 8_6_plus_6_7	1	JCommTable4.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:04	1/1/1970 0:04	incorrect	2	1	1	Single-KC	47	JCommTable4.R0C0	5	AD JCommTable4.R0C0	4	0.3999647772499506
47	47	Default BKT Controller(1)	AD 8_6_plus_6_7	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	hint	0	1	1	Single-KC	48	JCommTable8.R0C0	6	AD JCommTable8.R0C0	4	0.6775529985444748
48	48	Default BKT Controller(1)	AD 8_6_plus_6_7	1	JCommTable4.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	1	Single-KC	49	JCommTable4.R1C0	5	AD JCommTable4.R1C0	4	0.5571816732018808
49	49	Default BKT Controller(1)	AD 8_6_plus_6_7	1	JCommTable5.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:04	1/1/1970 0:04	incorrect	2	1	1	Single-KC	50	JCommTable5.R0C0	6	AD JCommTable5.R0C0	4	0.29440545312796235
50	50	Default BKT Controller(1)	AD 8_6_plus_6_7	1	JCommTable5.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	51	JCommTable5.R1C0	6	AD JCommTable5.R1C0	4	0.6042625728095967
51	51	Default BKT Controller(1)	AD 8_6_plus_6_7	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	52	done	8	AD done	4	0.778875247795128
52	52	Default BKT Controller(1)	AD 1_6_plus_2_6	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	53	JCommTable8.R0C0	7	AD JCommTable8.R0C0	5	0.6840218767729074
53	53	Default BKT Controller(1)	AD 1_6_plus_2_6	1	JCommTable4.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	2	1	0	Single-KC	54	JCommTable4.R0C0	6	AD JCommTable4.R0C0	5	0.4815065001938003
54	54	Default BKT Controller(1)	AD 1_6_plus_2_6	1	JCommTable5.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	2	1	1	Single-KC	55	JCommTable5.R0C0	7	AD JCommTable5.R0C0	5	0.36182983781029865
55	55	Default BKT Controller(1)	AD 1_6_plus_2_6	1	JCommTable4.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	56	JCommTable4.R1C0	6	AD JCommTable4.R1C0	5	0.6538537564221366
56	56	Default BKT Controller(1)	AD 1_6_plus_2_6	1	JCommTable5.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	57	JCommTable5.R1C0	7	AD JCommTable5.R1C0	5	0.7575880901626306
57	57	Default BKT Controller(1)	AD 1_6_plus_2_6	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	58	JCommTable6.R1C0	9	AD JCommTable6.R1C0	5	0.35105390313965484
58	58	Default BKT Controller(1)	AD 1_6_plus_2_6	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	59	JCommTable6.R0C0	9	AD JCommTable6.R0C0	5	0.44330777765237533
59	59	Default BKT Controller(1)	AD 1_6_plus_2_6	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	60	done	9	AD done	5	0.8772222686574044
