	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
5367	0	BKT Controller_human(1)	AD 1_6_plus_5_8	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	1	JCommTable8.R0C0	1	AD JCommTable8.R0C0	1	0.743767584226503
5368	1	BKT Controller_human(1)	AD 1_6_plus_5_8	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	2	JCommTable4.R1C0	1	AD JCommTable4.R1C0	1	0.35968271112150146
5369	2	BKT Controller_human(1)	AD 1_6_plus_5_8	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	3	JCommTable4.R0C0	1	AD JCommTable4.R0C0	1	0.2713022121166299
5370	3	BKT Controller_human(1)	AD 1_6_plus_5_8	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	4	JCommTable5.R1C0	1	AD JCommTable5.R1C0	1	0.21197287012223048
5371	4	BKT Controller_human(1)	AD 1_6_plus_5_8	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	5	JCommTable5.R0C0	1	AD JCommTable5.R0C0	1	0.2007457029198005
5372	5	BKT Controller_human(1)	AD 1_6_plus_5_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	6	JCommTable6.R1C0	1	AD JCommTable6.R1C0	1	0.40810705567256184
5373	6	BKT Controller_human(1)	AD 1_6_plus_5_8	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	7	JCommTable6.R0C0	1	AD JCommTable6.R0C0	1	0.4991800819218226
5374	7	BKT Controller_human(1)	AD 1_6_plus_5_8	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	8	done	1	AD done	1	0.38929887636347904
5375	8	BKT Controller_human(1)	AD 2_7_plus_10_3	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	Single-KC	9	done	2	AD done	2	0.5638988242570276
5376	9	BKT Controller_human(1)	AD 2_7_plus_10_3	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	10	JCommTable8.R0C0	2	AD JCommTable8.R0C0	2	0.7493993949551907
5377	10	BKT Controller_human(1)	AD 2_7_plus_10_3	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	11	JCommTable5.R0C0	2	AD JCommTable5.R0C0	2	0.25445561118996624
5378	11	BKT Controller_human(1)	AD 2_7_plus_10_3	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	12	JCommTable4.R0C0	2	AD JCommTable4.R0C0	2	0.34154390610748964
5379	12	BKT Controller_human(1)	AD 2_7_plus_10_3	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	13	JCommTable6.R1C0	2	AD JCommTable6.R1C0	2	0.4183987784080221
5380	13	BKT Controller_human(1)	AD 2_7_plus_10_3	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	1	1	0	Single-KC	14	JCommTable4.R1C0	2	AD JCommTable4.R1C0	2	0.4574901376505341
5381	14	BKT Controller_human(1)	AD 2_7_plus_10_3	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	15	JCommTable5.R1C0	2	AD JCommTable5.R1C0	2	0.3550691172825346
5382	15	BKT Controller_human(1)	AD 2_7_plus_10_3	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	Single-KC	16	JCommTable6.R0C0	2	AD JCommTable6.R0C0	2	0.510923963125613
5383	16	BKT Controller_human(1)	M 6_3_times_8_8	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	17	JCommTable5.R1C0	3	M  JCommTable5.R1C0	1	5.972601998510321e-08
5384	17	BKT Controller_human(1)	M 6_3_times_8_8	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	18	JCommTable8.R0C0	3	M  JCommTable8.R0C0	1	4.6074852977272767e-66
5385	18	BKT Controller_human(1)	M 6_3_times_8_8	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	19	JCommTable4.R1C0	3	M  JCommTable4.R1C0	1	9.066283386838502e-20
5386	19	BKT Controller_human(1)	M 6_3_times_8_8	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	2	0	0	Single-KC	20	JCommTable4.R0C0	3	M  JCommTable4.R0C0	1	5.218005547955633e-18
5387	20	BKT Controller_human(1)	M 6_3_times_8_8	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	1	1	1	Single-KC	21	JCommTable6.R0C0	3	M  JCommTable6.R0C0	1	0.3403092575102437
5388	21	BKT Controller_human(1)	M 6_3_times_8_8	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	1	1	1	Single-KC	22	JCommTable6.R1C0	3	M  JCommTable6.R1C0	1	0.5349319678841737
5389	22	BKT Controller_human(1)	M 6_3_times_8_8	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	Single-KC	23	done	3	M  done	1	0.4498655241542682
5390	23	BKT Controller_human(1)	M 8_5_times_1_3	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	24	JCommTable8.R0C0	4	M  JCommTable8.R0C0	2	4.6074852977272767e-66
5391	24	BKT Controller_human(1)	M 8_5_times_1_3	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	25	JCommTable5.R1C0	4	M  JCommTable5.R1C0	2	5.972601998510321e-08
5392	25	BKT Controller_human(1)	M 8_5_times_1_3	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	1	Single-KC	26	JCommTable6.R1C0	4	M  JCommTable6.R1C0	2	0.5770901345590748
5393	26	BKT Controller_human(1)	M 8_5_times_1_3	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	incorrect	2	1	1	Single-KC	27	JCommTable6.R0C0	4	M  JCommTable6.R0C0	2	0.4232801741241839
5394	27	BKT Controller_human(1)	M 8_5_times_1_3	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	28	done	4	M  done	2	0.6410607226626482
5395	28	BKT Controller_human(1)	AD 5_5_plus_4_10	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	0	Single-KC	29	JCommTable6.R0C0	5	AD JCommTable6.R0C0	3	0.5226557979883337
5396	29	BKT Controller_human(1)	AD 5_5_plus_4_10	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	0	Single-KC	30	JCommTable6.R1C0	5	AD JCommTable6.R1C0	3	0.4287620322845806
5397	30	BKT Controller_human(1)	AD 5_5_plus_4_10	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	0	Single-KC	31	JCommTable4.R1C0	4	AD JCommTable4.R1C0	3	0.5586881451017963
5398	31	BKT Controller_human(1)	AD 5_5_plus_4_10	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	32	JCommTable8.R0C0	5	AD JCommTable8.R0C0	3	0.7549482057201289
5399	32	BKT Controller_human(1)	AD 5_5_plus_4_10	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	0	Single-KC	33	JCommTable5.R1C0	5	AD JCommTable5.R1C0	3	0.5298177893431644
5400	33	BKT Controller_human(1)	AD 5_5_plus_4_10	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	34	JCommTable4.R0C0	4	AD JCommTable4.R0C0	3	0.41950213884794496
5401	34	BKT Controller_human(1)	AD 5_5_plus_4_10	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	35	JCommTable5.R0C0	3	AD JCommTable5.R0C0	3	0.31683910291715395
5402	35	BKT Controller_human(1)	AD 5_5_plus_4_10	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	0	Single-KC	36	done	5	AD done	3	0.7239742089645481
5403	36	BKT Controller_human(1)	M 8_8_times_3_3	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	37	JCommTable6.R1C0	6	M  JCommTable6.R1C0	3	0.6181546330630548
