	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
2210	0	BKT Controller_random(1)	AS 5_1_plus_6_1	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	1	JCommTable6.R1C0	1	AS JCommTable6.R1C0	1	0.45615347432527475
2211	1	BKT Controller_random(1)	AS 5_1_plus_6_1	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	2	JCommTable6.R0C0	1	AS JCommTable6.R0C0	1	0.4733942548789652
2212	2	BKT Controller_random(1)	AS 5_1_plus_6_1	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	3	done	1	AS done	1	0.30670697442210726
2213	3	BKT Controller_random(1)	M 5_10_times_2_9	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	Single-KC	4	done	2	M  done	1	0.26547097555996124
2214	4	BKT Controller_random(1)	M 5_10_times_2_9	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	2	1	1	Single-KC	5	JCommTable6.R0C0	2	M  JCommTable6.R0C0	1	0.1856652324747042
2215	5	BKT Controller_random(1)	M 5_10_times_2_9	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	2	1	1	Single-KC	6	JCommTable6.R1C0	2	M  JCommTable6.R1C0	1	0.33703083111457416
2216	6	BKT Controller_random(1)	AS 9_8_plus_3_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	Single-KC	7	JCommTable6.R1C0	3	AS JCommTable6.R1C0	2	0.46298570605059886
2217	7	BKT Controller_random(1)	AS 9_8_plus_3_8	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	2	1	0	Single-KC	8	JCommTable6.R0C0	3	AS JCommTable6.R0C0	2	0.48934062017316676
2218	8	BKT Controller_random(1)	AS 9_8_plus_3_8	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	0	Single-KC	9	done	3	AS done	2	0.5796281280183496
2219	9	BKT Controller_random(1)	M 6_9_times_5_1	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	1	1	0	Single-KC	10	JCommTable6.R1C0	4	M  JCommTable6.R1C0	2	0.37620899572919303
