	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
42681	0	Streak Agent(1)	AD 6_6_plus_9_6	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	1	JCommTable8.R0C0	1	AD JCommTable8.R0C0	1	0.7723899313568917
42682	1	Streak Agent(1)	AD 6_6_plus_9_6	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	2	JCommTable4.R1C0	1	AD JCommTable4.R1C0	1	0.39639001655888745
42683	2	Streak Agent(1)	AD 6_6_plus_9_6	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	3	JCommTable4.R0C0	1	AD JCommTable4.R0C0	1	0.30326168143147547
42684	3	Streak Agent(1)	AD 6_6_plus_9_6	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	4	JCommTable5.R1C0	1	AD JCommTable5.R1C0	1	0.23923788176530308
42685	4	Streak Agent(1)	AD 6_6_plus_9_6	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	5	JCommTable5.R0C0	1	AD JCommTable5.R0C0	1	0.22698257569040814
42686	5	Streak Agent(1)	AD 6_6_plus_9_6	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	6	JCommTable6.R1C0	1	AD JCommTable6.R1C0	1	0.4463116849529074
42687	6	Streak Agent(1)	AD 6_6_plus_9_6	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	Single-KC	7	JCommTable6.R0C0	1	AD JCommTable6.R0C0	1	0.5381587087179278
42688	7	Streak Agent(1)	AD 6_6_plus_9_6	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	8	done	1	AD done	1	0.42701303477184277
42689	8	Streak Agent(1)	AD 3_3_plus_7_8	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	9	done	2	AD done	2	0.6018579152253769
42690	9	Streak Agent(1)	AD 3_3_plus_7_8	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	10	JCommTable8.R0C0	2	AD JCommTable8.R0C0	2	0.7775807711302029
42691	10	Streak Agent(1)	AD 3_3_plus_7_8	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	11	JCommTable4.R1C0	2	AD JCommTable4.R1C0	2	0.4964402965361231
42692	11	Streak Agent(1)	AD 3_3_plus_7_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	12	JCommTable6.R1C0	2	AD JCommTable6.R1C0	2	0.45682326689874214
42693	12	Streak Agent(1)	AD 3_3_plus_7_8	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	0	Single-KC	13	JCommTable6.R0C0	2	AD JCommTable6.R0C0	2	0.5498128815336258
42694	13	Streak Agent(1)	AD 3_3_plus_7_8	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	14	JCommTable5.R1C0	2	AD JCommTable5.R1C0	2	0.3915935308738239
42695	14	Streak Agent(1)	AD 3_3_plus_7_8	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	1	1	0	Single-KC	15	JCommTable4.R0C0	2	AD JCommTable4.R0C0	2	0.37749138483937955
42696	15	Streak Agent(1)	AD 3_3_plus_7_8	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	Single-KC	16	JCommTable5.R0C0	2	AD JCommTable5.R0C0	2	0.2852072794880906
42697	16	Streak Agent(1)	AD 3_9_plus_4_3	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	Single-KC	17	JCommTable4.R1C0	3	AD JCommTable4.R1C0	3	0.5967764682853548
42698	17	Streak Agent(1)	AD 3_9_plus_4_3	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	18	JCommTable8.R0C0	3	AD JCommTable8.R0C0	3	0.7826865362890647
42699	18	Streak Agent(1)	AD 3_9_plus_4_3	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	3	1	1	Single-KC	19	JCommTable4.R0C0	3	AD JCommTable4.R0C0	3	0.45794817075733746
42700	19	Streak Agent(1)	AD 3_9_plus_4_3	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	20	JCommTable5.R1C0	3	AD JCommTable5.R1C0	3	0.5684732445943355
42701	20	Streak Agent(1)	AD 3_9_plus_4_3	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:02	incorrect	2	1	1	Single-KC	21	JCommTable6.R1C0	3	AD JCommTable6.R1C0	3	0.46737344270106335
42702	21	Streak Agent(1)	AD 3_9_plus_4_3	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	Single-KC	22	JCommTable5.R0C0	3	AD JCommTable5.R0C0	3	0.35157473692216673
42703	22	Streak Agent(1)	AD 3_9_plus_4_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	1	1	1	Single-KC	23	JCommTable6.R0C0	3	AD JCommTable6.R0C0	3	0.5614126424135746
42704	23	Streak Agent(1)	AD 3_9_plus_4_3	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	24	done	3	AD done	3	0.7540765064317027
42705	24	Streak Agent(1)	AD 9_7_plus_5_2	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	25	JCommTable8.R0C0	4	AD JCommTable8.R0C0	4	0.7877070947978752
42706	25	Streak Agent(1)	AD 9_7_plus_5_2	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	26	JCommTable4.R1C0	4	AD JCommTable4.R1C0	4	0.6896197363260974
42707	26	Streak Agent(1)	AD 9_7_plus_5_2	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	1	Single-KC	27	JCommTable4.R0C0	4	AD JCommTable4.R0C0	4	0.5406596432393866
42708	27	Streak Agent(1)	AD 9_7_plus_5_2	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	28	JCommTable5.R1C0	4	AD JCommTable5.R1C0	4	0.7294567830811483
42709	28	Streak Agent(1)	AD 9_7_plus_5_2	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	4	1	1	Single-KC	29	JCommTable6.R0C0	4	AD JCommTable6.R0C0	4	0.57294567010832
42710	29	Streak Agent(1)	AD 9_7_plus_5_2	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	1	Single-KC	30	JCommTable5.R0C0	4	AD JCommTable5.R0C0	4	0.42422023497466255
42711	30	Streak Agent(1)	AD 9_7_plus_5_2	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	31	JCommTable6.R1C0	4	AD JCommTable6.R1C0	4	0.47795287595511565
42712	31	Streak Agent(1)	AD 9_7_plus_5_2	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	32	done	4	AD done	4	0.8614915879875646
