Anon Student Id	Session Id	Transaction Id	Time	Time Zone	Student Response Type	Tutor Response Type	Level (Domain)	Problem Name	Problem Start Time	Step Name	Selection	Action	Input	Feedback Text	Outcome	CF (Problem Context)	KC (Single-KC)	KC (Selected)	KC (ptype_selection)
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	4ab6a216-a9ae-26e4-eff0-32ef3ff47937	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AS 5_1_plus_6_1	1/1/1970 0:00	JCommTable6.R1C0				Please enter '8' in the highlighted cell.	HINT		Single-KC	JCommTable6.R1C0	AS JCommTable6.R1C0
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	361257aa-71c5-8a2a-6239-1f312903622f	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AS 5_1_plus_6_1	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	1		CORRECT		Single-KC	JCommTable6.R1C0	AS JCommTable6.R1C0
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	c20a3e18-12af-7579-6676-de52856573c0	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AS 5_1_plus_6_1	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	1	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable6.R1C0	AS JCommTable6.R1C0
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	311d67f3-9f23-397e-301d-01f165358cf3	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AS 5_1_plus_6_1	1/1/1970 0:00	JCommTable6.R0C0				Please enter '10' in the highlighted cell.	HINT		Single-KC	JCommTable6.R0C0	AS JCommTable6.R0C0
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	58547fb0-389a-cdc9-5fb5-e75ff6e75428	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AS 5_1_plus_6_1	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	11		CORRECT		Single-KC	JCommTable6.R0C0	AS JCommTable6.R0C0
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	dfcc6e59-2282-55a3-9e28-1df2d098a42d	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AS 5_1_plus_6_1	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	11	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable6.R0C0	AS JCommTable6.R0C0
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	e9206fdf-ccd3-0ef8-3937-d34da52db2b6	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AS 5_1_plus_6_1	1/1/1970 0:00	done				You have answered all the questions. Please click on the Done button to proceed to the next problem.	HINT		Single-KC	done	AS done
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	9598c720-a2df-c9f0-5936-3dc73e6f11dd	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AS 5_1_plus_6_1	1/1/1970 0:00	done	done	ButtonPressed	-1		CORRECT		Single-KC	done	AS done
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	2607dc20-b5a3-34ae-a2bc-2f8581cf0e9c	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 5_10_times_2_9	1/1/1970 0:00	done	done	ButtonPressed	-1	"I'm sorry, but you are not done yet. Please continue working."	INCORRECT		Single-KC	done	M  done
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	be50f001-8a3c-0480-6f2d-1972cfbf5867	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 5_10_times_2_9	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	7		INCORRECT		Single-KC	JCommTable6.R0C0	M  JCommTable6.R0C0
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	26b57424-6ebd-69b0-5684-94d536c9222a	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 5_10_times_2_9	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	10		INCORRECT		Single-KC	JCommTable6.R1C0	M  JCommTable6.R1C0
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	a465d1c5-6932-a7c8-3603-a7c9e32e6fea	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	M 5_10_times_2_9	1/1/1970 0:00	JCommTable6.R0C0				Please enter '15' in the highlighted cell.	HINT		Single-KC	JCommTable6.R0C0	M  JCommTable6.R0C0
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	905f02e7-75f2-ffc5-1dd9-6a0c6a40543d	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 5_10_times_2_9	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	10		CORRECT		Single-KC	JCommTable6.R0C0	M  JCommTable6.R0C0
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	8e5a00ca-6793-5033-1175-7cd4bdf24ba3	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 5_10_times_2_9	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	10	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable6.R0C0	M  JCommTable6.R0C0
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	849277c0-34ad-e96c-936d-04ccef1e57fc	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	M 5_10_times_2_9	1/1/1970 0:00	JCommTable6.R1C0				Please enter '15' in the highlighted cell.	HINT		Single-KC	JCommTable6.R1C0	M  JCommTable6.R1C0
BKT Controller_random(1)	996586b2-e916-9ead-23e0-ccda21155efd	2c9f0a7a-4dc0-28b6-73a8-20266ebd7d70	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	M 5_10_times_2_9	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	90		CORRECT		Single-KC	JCommTable6.R1C0	M  JCommTable6.R1C0
