	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
0	0	Default BKT Controller(1)	AS 10_7_plus_1_7	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable6.R1C0	1	Single-KC	1	AS JCommTable6.R1C0	1	0.6922821367286643
1	1	Default BKT Controller(1)	AS 10_7_plus_1_7	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable6.R0C0	1	Single-KC	2	AS JCommTable6.R0C0	1	0.6869864764007123
2	2	Default BKT Controller(1)	AS 10_7_plus_1_7	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	1	Single-KC	3	AS done	1	0.5213630104078766
3	3	Default BKT Controller(1)	AD 9_8_plus_4_5	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	done	2	Single-KC	4	AD done	1	0.3472879796419992
4	4	Default BKT Controller(1)	AD 9_8_plus_4_5	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	2	1	1	JCommTable6.R1C0	2	Single-KC	5	AD JCommTable6.R1C0	1	0.44887466136512133
5	5	Default BKT Controller(1)	AD 9_8_plus_4_5	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	2	1	1	JCommTable6.R0C0	2	Single-KC	6	AD JCommTable6.R0C0	1	0.5169495317324787
6	6	Default BKT Controller(1)	AD 9_8_plus_4_5	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable8.R0C0	1	Single-KC	7	AD JCommTable8.R0C0	1	0.7707681585090873
7	7	Default BKT Controller(1)	AD 9_8_plus_4_5	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable4.R1C0	1	Single-KC	8	AD JCommTable4.R1C0	1	0.3501448107653334
8	8	Default BKT Controller(1)	AD 9_8_plus_4_5	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable4.R0C0	1	Single-KC	9	AD JCommTable4.R0C0	1	0.26649462615622965
9	9	Default BKT Controller(1)	AD 9_8_plus_4_5	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable5.R1C0	1	Single-KC	10	AD JCommTable5.R1C0	1	0.19655542164548345
