	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
9045	0	BKT Controller_human(1)	AS 8_9_plus_6_9	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable6.R1C0	1	Single-KC	1	AS JCommTable6.R1C0	1	0.6479851694964743
9046	1	BKT Controller_human(1)	AS 8_9_plus_6_9	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable6.R0C0	1	Single-KC	2	AS JCommTable6.R0C0	1	0.6423210508593288
9047	2	BKT Controller_human(1)	AS 8_9_plus_6_9	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	1	Single-KC	3	AS done	1	0.4712538226066319
9048	3	BKT Controller_human(1)	AD 7_8_plus_4_3	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	0	done	2	Single-KC	4	AD done	1	0.30330740997127753
9049	4	BKT Controller_human(1)	AD 7_8_plus_4_3	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	2	1	1	JCommTable6.R0C0	2	Single-KC	5	AD JCommTable6.R0C0	1	0.4668507893471509
9050	5	BKT Controller_human(1)	AD 7_8_plus_4_3	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	2	1	1	JCommTable6.R1C0	2	Single-KC	6	AD JCommTable6.R1C0	1	0.3999113955303559
9051	6	BKT Controller_human(1)	AD 7_8_plus_4_3	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable8.R0C0	1	Single-KC	7	AD JCommTable8.R0C0	1	0.7334187956175973
9052	7	BKT Controller_human(1)	AD 7_8_plus_4_3	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable4.R1C0	1	Single-KC	8	AD JCommTable4.R1C0	1	0.3059720479171824
9053	8	BKT Controller_human(1)	AD 7_8_plus_4_3	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable4.R0C0	1	Single-KC	9	AD JCommTable4.R0C0	1	0.22915360332736304
9054	9	BKT Controller_human(1)	AD 7_8_plus_4_3	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable5.R1C0	1	Single-KC	10	AD JCommTable5.R1C0	1	0.16678592208970322
9055	10	BKT Controller_human(1)	AD 7_8_plus_4_3	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable5.R0C0	1	Single-KC	11	AD JCommTable5.R0C0	1	0.15709979160210877
9056	11	BKT Controller_human(1)	AS 9_7_plus_1_7	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	0	JCommTable6.R1C0	3	Single-KC	12	AS JCommTable6.R1C0	2	0.6542695865365625
