	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
49260	0	Streak Agent(1)	AD 7_9_plus_1_3	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable8.R0C0	1	Single-KC	1	AD JCommTable8.R0C0	1	0.8127098271385553
49261	1	Streak Agent(1)	AD 7_9_plus_1_3	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable4.R1C0	1	Single-KC	2	AD JCommTable4.R1C0	1	0.41015093023835136
49262	2	Streak Agent(1)	AD 7_9_plus_1_3	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable4.R0C0	1	Single-KC	3	AD JCommTable4.R0C0	1	0.31920676479016113
49263	3	Streak Agent(1)	AD 7_9_plus_1_3	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable5.R1C0	1	Single-KC	4	AD JCommTable5.R1C0	1	0.23995932726186683
49264	4	Streak Agent(1)	AD 7_9_plus_1_3	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable5.R0C0	1	Single-KC	5	AD JCommTable5.R0C0	1	0.22718231081793966
49265	5	Streak Agent(1)	AD 7_9_plus_1_3	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable6.R1C0	1	Single-KC	6	AD JCommTable6.R1C0	1	0.51245809662829
49266	6	Streak Agent(1)	AD 7_9_plus_1_3	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	1	1	1	JCommTable6.R0C0	1	Single-KC	7	AD JCommTable6.R0C0	1	0.5800272793452019
49267	7	Streak Agent(1)	AD 7_9_plus_1_3	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	done	1	Single-KC	8	AD done	1	0.4071112199313415
49268	8	Streak Agent(1)	AD 6_8_plus_1_3	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	3	1	1	done	2	Single-KC	9	AD done	2	0.5982261546417031
49269	9	Streak Agent(1)	AD 6_8_plus_1_3	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	JCommTable5.R1C0	2	Single-KC	10	AD JCommTable5.R1C0	2	0.3965360196740781
49270	10	Streak Agent(1)	AD 6_8_plus_1_3	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	3	1	1	JCommTable6.R0C0	2	Single-KC	11	AD JCommTable6.R0C0	2	0.5921201889712487
49271	11	Streak Agent(1)	AD 6_8_plus_1_3	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	JCommTable8.R0C0	2	Single-KC	12	AD JCommTable8.R0C0	2	0.8173781025390907
49272	12	Streak Agent(1)	AD 6_8_plus_1_3	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	JCommTable6.R1C0	2	Single-KC	13	AD JCommTable6.R1C0	2	0.5229783983945847
49273	13	Streak Agent(1)	AD 6_8_plus_1_3	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	1	1	0	JCommTable4.R1C0	2	Single-KC	14	AD JCommTable4.R1C0	2	0.5271798348440025
49274	14	Streak Agent(1)	AD 6_8_plus_1_3	1	JCommTable5.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	JCommTable5.R0C0	2	Single-KC	15	AD JCommTable5.R0C0	2	0.30018355529640894
49275	15	Streak Agent(1)	AD 6_8_plus_1_3	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	1	1	0	JCommTable4.R0C0	2	Single-KC	16	AD JCommTable4.R0C0	2	0.41009682323371793
49276	16	Streak Agent(1)	AD 10_2_plus_1_3	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable8.R0C0	3	Single-KC	17	AD JCommTable8.R0C0	3	0.821955510724898
49277	17	Streak Agent(1)	AD 10_2_plus_1_3	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable4.R1C0	3	Single-KC	18	AD JCommTable4.R1C0	3	0.6412962570064268
