Anon Student Id	Session Id	Transaction Id	Time	Time Zone	Student Response Type	Tutor Response Type	Level (Domain)	Problem Name	Problem Start Time	Step Name	Selection	Action	Input	Feedback Text	Outcome	CF (Problem Context)	KC (Single-KC)	KC (Selected)	KC (ptype_selection)
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	af1fea16-e85b-99a3-cd4b-04e1984d3f77	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AS 10_7_plus_1_7	1/1/1970 0:00	JCommTable6.R1C0				Please enter '8' in the highlighted cell.	HINT		Single-KC	JCommTable6.R1C0	AS JCommTable6.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	50d2cc33-6392-dfec-e7f4-4f7d64cbaccd	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AS 10_7_plus_1_7	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	7		CORRECT		Single-KC	JCommTable6.R1C0	AS JCommTable6.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	00a6d02b-bbaf-ba70-9aea-282a01927233	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AS 10_7_plus_1_7	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	7	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable6.R1C0	AS JCommTable6.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	b11289e3-df0f-fd04-adf1-6bea82d0ecf6	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AS 10_7_plus_1_7	1/1/1970 0:00	JCommTable6.R0C0				Please enter '10' in the highlighted cell.	HINT		Single-KC	JCommTable6.R0C0	AS JCommTable6.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	1910981a-5231-96d1-8129-8bc0747709f0	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AS 10_7_plus_1_7	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	11		CORRECT		Single-KC	JCommTable6.R0C0	AS JCommTable6.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	1555755c-86d0-e2b2-c0d3-b0c71168bc76	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AS 10_7_plus_1_7	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	11	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable6.R0C0	AS JCommTable6.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	413c4e10-a18f-decf-0ec7-3f3a47770589	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AS 10_7_plus_1_7	1/1/1970 0:00	done				You have answered all the questions. Please click on the Done button to proceed to the next problem.	HINT		Single-KC	done	AS done
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	146afa3c-5e8f-6c07-db4f-37a23e518d83	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AS 10_7_plus_1_7	1/1/1970 0:00	done	done	ButtonPressed	-1		CORRECT		Single-KC	done	AS done
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	cd6df4c2-30a7-870b-7453-6a1988cc6175	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	done	done	ButtonPressed	-1	"I'm sorry, but you are not done yet. Please continue working."	INCORRECT		Single-KC	done	AD done
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	42ae0488-02fe-2650-a2db-6658e859f840	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	8		INCORRECT		Single-KC	JCommTable6.R1C0	AD JCommTable6.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	be134854-2302-003e-678c-0db148fef2f8	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	13		INCORRECT		Single-KC	JCommTable6.R0C0	AD JCommTable6.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	b32e4f17-1da6-ecb7-b285-b0dd85dfa156	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable8.R0C0				Please enter 'x' in the highlighted cell.	HINT		Single-KC	JCommTable8.R0C0	AD JCommTable8.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	50d920c2-6fae-2a1a-d799-0bcf6721059c	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable8.R0C0	JCommTable8.R0C0	UpdateTextArea	x		CORRECT		Single-KC	JCommTable8.R0C0	AD JCommTable8.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	36ca28eb-5515-1645-88d0-03625297c749	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable8.R0C0	JCommTable8.R0C0	UpdateTextArea	x		INCORRECT		Single-KC	JCommTable8.R0C0	AD JCommTable8.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	10005002-21a1-0943-a67c-7cd7656ee5e1	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable4.R1C0				Please enter '6' in the highlighted cell.	HINT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	9b79ccf1-c1a8-d474-6b7f-bc23f04a4c74	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable4.R1C0	JCommTable4.R1C0	UpdateTextArea	40		CORRECT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	ff1ab8e0-21b0-6dbe-c2fd-c57cd81bb012	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable4.R1C0	JCommTable4.R1C0	UpdateTextArea	40		INCORRECT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	61dca1d6-805c-5a9d-07cb-e9a1f37d8372	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable4.R0C0				Please enter '3' in the highlighted cell.	HINT		Single-KC	JCommTable4.R0C0	AD JCommTable4.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	b5f0362f-dfc1-1c31-cb97-105d4064b11e	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable4.R0C0	JCommTable4.R0C0	UpdateTextArea	45		CORRECT		Single-KC	JCommTable4.R0C0	AD JCommTable4.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	2a040e51-19fb-5e5f-6c3f-c2d6d5b0ffda	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable4.R0C0	JCommTable4.R0C0	UpdateTextArea	45	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable4.R0C0	AD JCommTable4.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	1ba5cb4f-b78e-8885-054c-2392aeccc0ff	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable5.R1C0				Please enter '6' in the highlighted cell.	HINT		Single-KC	JCommTable5.R1C0	AD JCommTable5.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	9fb964a8-f6f7-51e7-4a5c-f56740035105	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable5.R1C0	JCommTable5.R1C0	UpdateTextArea	40		CORRECT		Single-KC	JCommTable5.R1C0	AD JCommTable5.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	2df8a7f8-fcb4-4c8a-aea1-9f42bc795c38	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable5.R1C0	JCommTable5.R1C0	UpdateTextArea	40	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable5.R1C0	AD JCommTable5.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	5b734db6-85a3-f32d-6c88-bcd16d0f6f0b	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable5.R0C0				Please enter '4' in the highlighted cell.	HINT		Single-KC	JCommTable5.R0C0	AD JCommTable5.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	7cac65db-7278-14f1-9223-c4d85873cef2	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable5.R0C0	JCommTable5.R0C0	UpdateTextArea	32		CORRECT		Single-KC	JCommTable5.R0C0	AD JCommTable5.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	0c435f6d-577b-eb5c-ed2c-c4c9ebe98939	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable5.R0C0	JCommTable5.R0C0	UpdateTextArea	32		INCORRECT		Single-KC	JCommTable5.R0C0	AD JCommTable5.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	0477ae9d-f4ca-7c91-375f-7ee7b0f17124	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable6.R1C0				Please enter '6' in the highlighted cell.	HINT		Single-KC	JCommTable6.R1C0	AD JCommTable6.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	37cd2092-33f9-3a08-e750-0d020ead50a2	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	40		CORRECT		Single-KC	JCommTable6.R1C0	AD JCommTable6.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	e063bc04-849d-2b70-42c9-bdd5a46ae610	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea	40	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable6.R1C0	AD JCommTable6.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	d0e75f0d-e07a-c8e2-5a06-4a409d5f9219	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable6.R0C0				Please enter '7' in the highlighted cell.	HINT		Single-KC	JCommTable6.R0C0	AD JCommTable6.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	face4ec4-29b3-17f2-a4e4-6fe1e818bc38	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	77		CORRECT		Single-KC	JCommTable6.R0C0	AD JCommTable6.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	062d8ace-242a-f851-8545-1ed376b6f738	1/1/1970 0:00	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	77	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable6.R0C0	AD JCommTable6.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	a9baed17-a03e-ca8d-97cd-3b1a7a6c7cfc	1/1/1970 0:00	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	done				You have answered all the questions. Please click on the Done button to proceed to the next problem.	HINT		Single-KC	done	AD done
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	886a250b-a862-05c6-07a0-f89b466e23df	1/1/1970 0:01	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 9_8_plus_4_5	1/1/1970 0:00	done	done	ButtonPressed	-1		CORRECT		Single-KC	done	AD done
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	372c04c9-d879-aec5-4085-bb8d904f687c	1/1/1970 0:01	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea			INCORRECT		Single-KC	JCommTable6.R0C0	AD JCommTable6.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	9f60db7c-0914-00ba-4b98-f44ab52bd155	1/1/1970 0:01	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable4.R1C0	JCommTable4.R1C0	UpdateTextArea	90	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	2c824ab3-e14b-c27e-347a-cd151144fa05	1/1/1970 0:01	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable5.R0C0	JCommTable5.R0C0	UpdateTextArea	70	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable5.R0C0	AD JCommTable5.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	55d9f81f-570e-6c8d-fb85-dcabbab7719b	1/1/1970 0:01	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable5.R1C0	JCommTable5.R1C0	UpdateTextArea			INCORRECT		Single-KC	JCommTable5.R1C0	AD JCommTable5.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	03e8ceee-5e75-f422-4521-6a9c58e5bdcc	1/1/1970 0:01	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea			INCORRECT		Single-KC	JCommTable6.R1C0	AD JCommTable6.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	c758fa76-25d0-97e6-2bf9-407eddfce2f0	1/1/1970 0:01	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable4.R0C0	JCommTable4.R0C0	UpdateTextArea			INCORRECT		Single-KC	JCommTable4.R0C0	AD JCommTable4.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	9224715a-f823-3b22-fd24-02848a6127f4	1/1/1970 0:01	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable8.R0C0	JCommTable8.R0C0	UpdateTextArea	x		CORRECT		Single-KC	JCommTable8.R0C0	AD JCommTable8.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	8c8238ec-3b0e-eecf-4afe-b182c586a825	1/1/1970 0:01	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable5.R0C0	JCommTable5.R0C0	UpdateTextArea	70	"Instead of the step you are working on, please work on the highlighted step."	INCORRECT		Single-KC	JCommTable5.R0C0	AD JCommTable5.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	ba5c28ba-571d-3e7f-48b3-8060d37edf97	1/1/1970 0:01	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable5.R1C0	JCommTable5.R1C0	UpdateTextArea			INCORRECT		Single-KC	JCommTable5.R1C0	AD JCommTable5.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	5b98c70d-dff4-64b4-81d7-0f1d0f4c1acb	1/1/1970 0:01	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable6.R0C0	JCommTable6.R0C0	UpdateTextArea	15		INCORRECT		Single-KC	JCommTable6.R0C0	AD JCommTable6.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	f89c58b6-74ca-0311-3295-82eb11a27573	1/1/1970 0:01	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable6.R1C0	JCommTable6.R1C0	UpdateTextArea			INCORRECT		Single-KC	JCommTable6.R1C0	AD JCommTable6.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	18c25022-6c64-8590-bc3c-d0ba70007a54	1/1/1970 0:01	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable4.R1C0				Please enter '6' in the highlighted cell.	HINT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	84eae9b1-02ae-81d3-ee68-90dbcb26e70a	1/1/1970 0:01	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable4.R1C0	JCommTable4.R1C0	UpdateTextArea	90		CORRECT		Single-KC	JCommTable4.R1C0	AD JCommTable4.R1C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	5015156f-f5d7-4448-692f-c87d2d9de778	1/1/1970 0:01	Eastern Standard Time		HINT_MSG	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable4.R0C0				Please enter '3' in the highlighted cell.	HINT		Single-KC	JCommTable4.R0C0	AD JCommTable4.R0C0
Default BKT Controller(1)	ec6c2b81-801a-eb6e-0562-b0c41d389f05	87e303e3-e587-4e7f-5f52-35afe24e109a	1/1/1970 0:01	Eastern Standard Time	ATTEMPT	RESULT	fraction_arithmetic	AD 8_10_plus_7_9	1/1/1970 0:01	JCommTable4.R0C0	JCommTable4.R0C0	UpdateTextArea	72		CORRECT		Single-KC	JCommTable4.R0C0	AD JCommTable4.R0C0
