	Opportunity (ptype_selection)	Opportunity (ptype_selection)	Prediction	Prediction
	mean	count	mean	count
KC (ptype_selection)				
AD JCommTable4.R0C0	3.0	28	0.657035139793991	28
AD JCommTable4.R1C0	3.7333333333333334	30	0.7336172013471427	30
AD JCommTable5.R0C0	4.733333333333333	30	0.43278890538984505	30
AD JCommTable5.R1C0	3.586206896551724	29	0.666772287777372	29
AD JCommTable6.R0C0	8.633333333333333	30	0.3686853036890414	30
AD JCommTable6.R1C0	9.366666666666667	30	0.4648308154619926	30
AD JCommTable8.R0C0	2.142857142857143	21	0.8689977614928798	21
AD done	5.3	30	0.8864333333389426	30
AS JCommTable4.R0C0	1.3333333333333333	9	1.769751663863056e-08	9
AS JCommTable4.R1C0	1.0	9	3.139353397598404e-08	9
AS JCommTable5.R0C0	1.0	6	1.0602946391905399e-07	6
AS JCommTable5.R1C0	1.0	1	2.76793386289248e-12	1
AS JCommTable6.R0C0	4.551724137931035	29	0.5360012414847349	29
AS JCommTable6.R1C0	3.230769230769231	26	0.7688032852833645	26
AS JCommTable8.R0C0	1.2173913043478262	23	1.0685230718502735e-11	23
AS done	4.233333333333333	30	0.880529155883536	30
M  JCommTable4.R0C0	1.0	5	3.426573156117579e-08	5
M  JCommTable4.R1C0	2.375	24	1.2047044180988304e-10	24
M  JCommTable5.R0C0	1.25	4	1.463504022688231e-07	4
M  JCommTable5.R1C0	1.6	10	1.3151176526536812e-08	10
M  JCommTable6.R0C0	12.066666666666666	30	0.8969532218229198	30
M  JCommTable6.R1C0	12.6	30	0.94820095854402	30
M  JCommTable8.R0C0	1.3	20	1.0757237195786438e-10	20
M  done	12.566666666666666	30	0.9498611276395136	30
