	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	Prediction
0	1	BKT Controller(1)	AS 5_4_plus_3_4	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS JCommTable6.R1C0	1	Single-KC	1	JCommTable6.R1C0	1	0.43242125683316257
1	2	BKT Controller(1)	AS 5_4_plus_3_4	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS JCommTable6.R0C0	1	Single-KC	2	JCommTable6.R0C0	1	0.14921721701004995
2	3	BKT Controller(1)	AS 5_4_plus_3_4	1	11	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS done	1	Single-KC	3	done	1	0.5616159285589846
3	4	BKT Controller(1)	AS 2_3_plus_4_3	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	AS JCommTable6.R1C0	2	Single-KC	4	JCommTable6.R1C0	2	0.695696593458968
4	5	BKT Controller(1)	AS 2_3_plus_4_3	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	2	1	1	AS JCommTable6.R0C0	2	Single-KC	5	JCommTable6.R0C0	2	0.2542510159433422
5	6	BKT Controller(1)	AS 2_3_plus_4_3	1	11	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS done	2	Single-KC	6	done	2	0.7393928500851887
6	7	BKT Controller(1)	M 4_5_times_2_7	1	7	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	1	M  JCommTable6.R1C0	1	Single-KC	7	JCommTable6.R1C0	3	0.49651754792989167
7	8	BKT Controller(1)	M 4_5_times_2_7	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	M  JCommTable6.R0C0	1	Single-KC	8	JCommTable6.R0C0	3	0.5465488406353456
8	9	BKT Controller(1)	M 4_5_times_2_7	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	M  done	1	Single-KC	9	done	3	0.40289271985896735
9	10	BKT Controller(1)	M 4_5_times_2_7	1	5	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	M  done	2	Single-KC	10	done	4	0.5401300646096342
10	11	BKT Controller(1)	M 6_7_times_1_6	1	7	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	M  JCommTable6.R1C0	2	Single-KC	11	JCommTable6.R1C0	4	0.6161923763302763
11	12	BKT Controller(1)	M 6_7_times_1_6	1	9	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	M  JCommTable6.R0C0	2	Single-KC	12	JCommTable6.R0C0	4	0.6251384403144675
12	13	BKT Controller(1)	M 6_7_times_1_6	1	5	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	M  done	3	Single-KC	13	done	5	0.671540109640641
13	14	BKT Controller(1)	M 1_7_times_5_6	1	7	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	M  JCommTable6.R1C0	3	Single-KC	14	JCommTable6.R1C0	5	0.7232750583080758
14	15	BKT Controller(1)	M 1_7_times_5_6	1	9	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	M  JCommTable6.R0C0	3	Single-KC	15	JCommTable6.R0C0	5	0.6976424754263897
15	16	BKT Controller(1)	M 1_7_times_5_6	1	5	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	M  done	4	Single-KC	16	done	6	0.7806488835406122
16	17	BKT Controller(1)	M 1_8_times_3_4	1	7	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	M  JCommTable6.R1C0	4	Single-KC	17	JCommTable6.R1C0	6	0.8097079096640409
17	18	BKT Controller(1)	M 1_8_times_3_4	1	9	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	M  JCommTable6.R0C0	4	Single-KC	18	JCommTable6.R0C0	6	0.7614738392539055
18	19	BKT Controller(1)	M 1_8_times_3_4	1	5	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	M  done	5	Single-KC	19	done	7	0.8610148312694486
19	20	BKT Controller(1)	M 1_3_times_4_9	1	7	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	M  JCommTable6.R1C0	5	Single-KC	20	JCommTable6.R1C0	7	0.8738526574856427
