Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)
1	BKT Controller(1)	AS 5_4_plus_3_4	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS JCommTable6.R1C0	1	Single-KC	1	JCommTable6.R1C0	1
2	BKT Controller(1)	AS 5_4_plus_3_4	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS JCommTable6.R0C0	1	Single-KC	2	JCommTable6.R0C0	1
3	BKT Controller(1)	AS 5_4_plus_3_4	1	11	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS done	1	Single-KC	3	done	1
4	BKT Controller(1)	AS 2_3_plus_4_3	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	AS JCommTable6.R1C0	2	Single-KC	4	JCommTable6.R1C0	2
5	BKT Controller(1)	AS 2_3_plus_4_3	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	2	1	1	AS JCommTable6.R0C0	2	Single-KC	5	JCommTable6.R0C0	2
6	BKT Controller(1)	AS 2_3_plus_4_3	1	11	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	AS done	2	Single-KC	6	done	2
7	BKT Controller(1)	M 4_5_times_2_7	1	7	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	1	M  JCommTable6.R1C0	1	Single-KC	7	JCommTable6.R1C0	3
8	BKT Controller(1)	M 4_5_times_2_7	1	1	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	M  JCommTable6.R0C0	1	Single-KC	8	JCommTable6.R0C0	3
9	BKT Controller(1)	M 4_5_times_2_7	1	3	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	incorrect	1	1	1	M  done	1	Single-KC	9	done	3
10	BKT Controller(1)	M 4_5_times_2_7	1	5	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	M  done	2	Single-KC	10	done	4
11	BKT Controller(1)	M 6_7_times_1_6	1	7	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	M  JCommTable6.R1C0	2	Single-KC	11	JCommTable6.R1C0	4
12	BKT Controller(1)	M 6_7_times_1_6	1	9	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	M  JCommTable6.R0C0	2	Single-KC	12	JCommTable6.R0C0	4
13	BKT Controller(1)	M 6_7_times_1_6	1	5	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	M  done	3	Single-KC	13	done	5
14	BKT Controller(1)	M 1_7_times_5_6	1	7	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	M  JCommTable6.R1C0	3	Single-KC	14	JCommTable6.R1C0	5
15	BKT Controller(1)	M 1_7_times_5_6	1	9	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	M  JCommTable6.R0C0	3	Single-KC	15	JCommTable6.R0C0	5
16	BKT Controller(1)	M 1_7_times_5_6	1	5	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	M  done	4	Single-KC	16	done	6
17	BKT Controller(1)	M 1_8_times_3_4	1	7	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	M  JCommTable6.R1C0	4	Single-KC	17	JCommTable6.R1C0	6
18	BKT Controller(1)	M 1_8_times_3_4	1	9	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	M  JCommTable6.R0C0	4	Single-KC	18	JCommTable6.R0C0	6
19	BKT Controller(1)	M 1_8_times_3_4	1	5	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	M  done	5	Single-KC	19	done	7
20	BKT Controller(1)	M 1_3_times_4_9	1	7	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	M  JCommTable6.R1C0	5	Single-KC	20	JCommTable6.R1C0	7
21	BKT Controller(1)	M 1_3_times_4_9	1	9	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	M  JCommTable6.R0C0	5	Single-KC	21	JCommTable6.R0C0	7
22	BKT Controller(1)	M 1_3_times_4_9	1	5	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	M  done	6	Single-KC	22	done	8
23	BKT Controller(1)	AD 2_3_plus_3_5	1	1	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	2	1	1	AD JCommTable6.R1C0	1	Single-KC	23	JCommTable6.R1C0	8
24	BKT Controller(1)	AD 2_3_plus_3_5	1	3	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	AD JCommTable4.R1C0	1	Single-KC	24	JCommTable4.R1C0	1
25	BKT Controller(1)	AD 2_3_plus_3_5	1	7	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	AD JCommTable6.R0C0	1	Single-KC	25	JCommTable6.R0C0	8
26	BKT Controller(1)	AD 2_3_plus_3_5	1	9	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	AD JCommTable5.R1C0	1	Single-KC	26	JCommTable5.R1C0	1
27	BKT Controller(1)	AD 2_3_plus_3_5	1	15	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	AD JCommTable5.R0C0	1	Single-KC	27	JCommTable5.R0C0	1
