	Opportunity (ptype_selection)	Opportunity (ptype_selection)	Prediction	Prediction
	mean	count	mean	count
KC (ptype_selection)				
AD JCommTable4.R0C0	3.9	30	0.5778531240329198	30
AD JCommTable4.R1C0	4.0	30	0.6432129082523103	30
AD JCommTable5.R0C0	4.733333333333333	30	0.5728647861035083	30
AD JCommTable5.R1C0	4.5	30	0.5877442854882965	30
AD JCommTable6.R0C0	8.066666666666666	30	0.4238396060272104	30
AD JCommTable6.R1C0	9.333333333333334	30	0.578811917609654	30
AD JCommTable8.R0C0	3.0	20	0.8877205517281265	20
AD done	5.666666666666667	30	0.9583399514230637	30
AS JCommTable4.R0C0	1.2	10	2.5078523895952577e-33	10
AS JCommTable4.R1C0	1.0	6	1.9278901211171117e-09	6
AS JCommTable5.R0C0	1.0	2	3.78922853279523e-13	2
AS JCommTable5.R1C0	1.4	5	1.7923581957289331e-10	5
AS JCommTable6.R0C0	4.433333333333334	30	0.7145597303472255	30
AS JCommTable6.R1C0	3.3	30	0.6192462868322505	30
AS JCommTable8.R0C0	1.3888888888888888	18	3.888911311095973e-74	18
AS done	4.733333333333333	30	0.9319985645115757	30
M  JCommTable4.R0C0	1.0	6	3.710334792494609e-10	6
M  JCommTable4.R1C0	1.45	20	1.2862110218217659e-64	20
M  JCommTable5.R0C0	1.25	4	6.853367988295715e-09	4
M  JCommTable5.R1C0	1.3	10	2.365440837685146e-58	10
M  JCommTable6.R0C0	14.8	30	0.95705483448146	30
M  JCommTable6.R1C0	16.166666666666668	30	0.9657225137918111	30
M  JCommTable8.R0C0	1.2380952380952381	21	2.5944531267582558e-76	21
M  done	15.7	30	0.9970212372393524	30
