Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Field-num5-merged)	Opportunity (Field-num5-merged)	KC (Single-KC)	Opportunity (Single-KC)	KC (Field)	Opportunity (Field)	KC (Unique-step)	Opportunity (Unique-step)	KC (Literal-Field)	Opportunity (Literal-Field)
0	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 1_7_plus_3_7	1	den5	4/28/2015 10:35	4/28/2015 10:35	4/28/2015 10:35	4/28/2015 10:35	correct	0	1	0	AS den5	1	Single-KC	1	AS JCommTable6.R1C0	1	KC834	1	den5	1
1	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 1_7_plus_3_7	1	num5	4/28/2015 10:35	4/28/2015 10:35	4/28/2015 10:35	4/28/2015 10:35	incorrect	1	1	0	num5	1	Single-KC	2	AS JCommTable6.R0C0	1	KC682	1	num5	1
2	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 1_7_plus_3_7	1	done	4/28/2015 10:35	4/28/2015 10:35	4/28/2015 10:35	4/28/2015 10:35	incorrect	1	1	0	AS done	1	Single-KC	3	AS done	1	KC61	1	done	1
3	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 1_7_plus_3_7	1	check_convert	4/28/2015 10:35	4/28/2015 10:35	4/28/2015 10:35	4/28/2015 10:35	correct	0	1	0	AS check_convert	1	Single-KC	4	AD JCommTable8.R0C0	1	KC674	1	check_convert	1
4	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 4_9_plus_3_4	1	check_convert	4/28/2015 10:36	4/28/2015 10:36	4/28/2015 10:36	4/28/2015 10:36	correct	0	1	0	AD check_convert	1	Single-KC	5	AD JCommTable8.R0C0	2	KC283	1	check_convert	2
5	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 4_9_plus_3_4	1	num3	4/28/2015 10:36	4/28/2015 10:36	4/28/2015 10:37	4/28/2015 10:37	incorrect	3	1	1	AD num3	1	Single-KC	6	AD JCommTable4.R0C0	1	KC345	1	num3	1
6	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 4_9_plus_3_4	1	den3	4/28/2015 10:36	4/28/2015 10:36	4/28/2015 10:36	4/28/2015 10:36	correct	0	1	0	AD den3	1	Single-KC	7	AD JCommTable4.R1C0	1	KC224	1	den3	1
7	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 4_9_plus_3_4	1	den4	4/28/2015 10:37	4/28/2015 10:37	4/28/2015 10:37	4/28/2015 10:37	correct	0	1	0	AD den4	1	Single-KC	8	AD JCommTable5.R1C0	1	KC115	1	den4	1
8	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 4_9_plus_3_4	1	num4	4/28/2015 10:37	4/28/2015 10:37	4/28/2015 10:37	4/28/2015 10:37	incorrect	1	1	1	AD num4	1	Single-KC	9	AD JCommTable5.R0C0	1	KC812	1	num4	1
9	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 4_9_plus_3_4	1	num5	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	correct	0	1	0	num5	2	Single-KC	10	AD JCommTable6.R0C0	1	KC953	1	num5	2
10	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 4_9_plus_3_4	1	den5	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	correct	0	1	0	AD den5	1	Single-KC	11	AD JCommTable6.R1C0	1	KC648	1	den5	2
11	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 4_9_plus_3_4	1	done	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	correct	0	1	0	AD done	1	Single-KC	12	AD done	1	KC721	1	done	2
12	Stu_042c4b5851700a33a99dcf57043d0ed4	M 1_3_times_4_9	1	num5	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	correct	0	1	0	M num5	1	Single-KC	13	M  JCommTable6.R0C0	1	KC26	1	num5	3
13	Stu_042c4b5851700a33a99dcf57043d0ed4	M 1_3_times_4_9	1	den5	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	correct	0	1	0	M den5	1	Single-KC	14	M  JCommTable6.R1C0	1	KC107	1	den5	3
14	Stu_042c4b5851700a33a99dcf57043d0ed4	M 1_3_times_4_9	1	done	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	correct	0	1	0	M done	1	Single-KC	15	M  done	1	KC194	1	done	3
15	Stu_042c4b5851700a33a99dcf57043d0ed4	M 1_3_times_4_9	1	check_convert	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	correct	0	1	0	M check_convert	1	Single-KC	16	AD JCommTable8.R0C0	3	KC55	1	check_convert	3
16	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 3_7_plus_2_8	1	check_convert	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	correct	0	1	0	AD check_convert	2	Single-KC	17	AD JCommTable8.R0C0	4	KC635	1	check_convert	4
17	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 3_7_plus_2_8	1	den3	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	correct	0	1	0	AD den3	2	Single-KC	18	AD JCommTable4.R1C0	2	KC429	1	den3	2
18	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 3_7_plus_2_8	1	den4	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	4/28/2015 10:38	correct	0	1	0	AD den4	2	Single-KC	19	AD JCommTable5.R1C0	2	KC974	1	den4	2
19	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 3_7_plus_2_8	1	num4	4/28/2015 10:39	4/28/2015 10:39	4/28/2015 10:39	4/28/2015 10:39	incorrect	1	1	0	AD num4	2	Single-KC	20	AD JCommTable5.R0C0	2	KC69	1	num4	2
20	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 3_7_plus_2_8	1	num3	4/28/2015 10:39	4/28/2015 10:39	4/28/2015 10:39	4/28/2015 10:39	incorrect	1	1	0	AD num3	2	Single-KC	21	AD JCommTable4.R0C0	2	KC59	1	num3	2
21	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 3_7_plus_2_8	1	num5	4/28/2015 10:39	4/28/2015 10:39	4/28/2015 10:39	4/28/2015 10:39	correct	0	1	0	num5	3	Single-KC	22	AD JCommTable6.R0C0	2	KC691	1	num5	4
22	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 3_7_plus_2_8	1	den5	4/28/2015 10:39	4/28/2015 10:39	4/28/2015 10:39	4/28/2015 10:39	correct	0	1	0	AD den5	2	Single-KC	23	AD JCommTable6.R1C0	2	KC666	1	den5	4
23	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 3_7_plus_2_8	1	done	4/28/2015 10:39	4/28/2015 10:39	4/28/2015 10:39	4/28/2015 10:39	correct	0	1	0	AD done	2	Single-KC	24	AD done	2	KC27	1	done	4
24	Stu_042c4b5851700a33a99dcf57043d0ed4	M 4_5_times_3_10	1	num5	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	correct	0	1	0	M num5	2	Single-KC	25	M  JCommTable6.R0C0	2	KC275	1	num5	5
25	Stu_042c4b5851700a33a99dcf57043d0ed4	M 4_5_times_3_10	1	den5	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	correct	0	1	0	M den5	2	Single-KC	26	M  JCommTable6.R1C0	2	KC274	1	den5	5
26	Stu_042c4b5851700a33a99dcf57043d0ed4	M 4_5_times_3_10	1	done	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	correct	0	1	0	M done	2	Single-KC	27	M  done	2	KC200	1	done	5
27	Stu_042c4b5851700a33a99dcf57043d0ed4	M 4_5_times_3_10	1	check_convert	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	correct	0	1	0	M check_convert	2	Single-KC	28	AD JCommTable8.R0C0	5	KC190	1	check_convert	5
28	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 2_3_plus_4_3	1	den5	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	correct	0	1	0	AS den5	2	Single-KC	29	AS JCommTable6.R1C0	2	KC684	1	den5	6
29	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 2_3_plus_4_3	1	num5	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	correct	0	1	0	num5	4	Single-KC	30	AS JCommTable6.R0C0	2	KC362	1	num5	6
30	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 2_3_plus_4_3	1	done	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	correct	0	1	0	AS done	2	Single-KC	31	AS done	2	KC826	1	done	6
31	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 2_3_plus_4_3	1	check_convert	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	correct	0	1	0	AS check_convert	2	Single-KC	32	AD JCommTable8.R0C0	6	KC381	1	check_convert	6
32	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_2_plus_2_3	1	check_convert	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	correct	0	1	0	AD check_convert	3	Single-KC	33	AD JCommTable8.R0C0	7	KC518	1	check_convert	7
