	Opportunity (ptype_selection)	Opportunity (ptype_selection)	Prediction	Prediction
	mean	count	mean	count
KC (ptype_selection)				
AD JCommTable4.R0C0	10.6	30	0.9921164564064449	30
AD JCommTable4.R1C0	12.066666666666666	30	0.9960616180172853	30
AD JCommTable5.R0C0	14.333333333333334	30	0.9025752411301445	30
AD JCommTable5.R1C0	13.9	30	0.9441021844198173	30
AD JCommTable6.R0C0	17.966666666666665	30	0.9414088599506505	30
AD JCommTable6.R1C0	21.2	30	0.8966899010846165	30
AD JCommTable8.R0C0	9.166666666666666	30	0.9987692525149978	30
AD done	14.366666666666667	30	0.999999967615112	30
AS JCommTable4.R0C0	1.6	10	1.4723271802609264e-13	10
AS JCommTable4.R1C0	1.3636363636363635	11	8.683080622299102e-14	11
AS JCommTable5.R0C0	1.5	4	4.895294902936364e-16	4
AS JCommTable5.R1C0	1.0	5	5.4922452067241696e-11	5
AS JCommTable6.R0C0	10.1	30	0.9655660778695999	30
AS JCommTable6.R1C0	8.233333333333333	30	0.9626410720497084	30
AS JCommTable8.R0C0	1.7916666666666667	24	1.7679769486546864e-11	24
AS done	10.466666666666667	30	0.9999093688148083	30
M  JCommTable4.R0C0	1.1	10	1.8308459254111794e-20	10
M  JCommTable4.R1C0	2.909090909090909	22	5.161267104958268e-13	22
M  JCommTable5.R0C0	1.0	1	0.0	1
M  JCommTable5.R1C0	2.5714285714285716	21	2.8269772672763305e-11	21
M  JCommTable6.R0C0	37.6	30	0.9999862593490936	30
M  JCommTable6.R1C0	40.333333333333336	30	0.9992584343964185	30
M  JCommTable8.R0C0	1.368421052631579	19	3.180118956358495e-10	19
M  done	40.36666666666667	30	0.999999999987378	30
