transaction file rolled up into: wherewhenhownofoa_80_ptype_step_combine-rollup.txt

Found these KC models:
  (1) Selected
  (2) Single-KC
  (3) ptype_selection

Enter the number of which one you want to use: 
  Unstratified CV    Stratified CV    Student CV    Item CV
-----------------  ---------------  ------------  ---------
            0.274            0.273         0.276      0.274

KC Name                Intercept (logit)    Intercept (prob)    Slope
-------------------  -------------------  ------------------  -------
AD JCommTable4.R0C0               -1.149               0.241    0.332
AD JCommTable4.R1C0               -0.738               0.324    0.406
AD JCommTable5.R0C0               -1.543               0.176    0.307
AD JCommTable5.R1C0               -1.474               0.186    0.716
AD JCommTable6.R0C0               -0.164               0.459    0.047
AD JCommTable6.R1C0               -0.533               0.370    0.042
AD JCommTable8.R0C0                0.905               0.712    0.030
AD done                           -0.611               0.352    0.707
AS JCommTable4.R0C0              -48.604               0.000    0.000
AS JCommTable4.R1C0              -45.047               0.000    0.000
AS JCommTable5.R0C0              -22.531               0.000    0.000
AS JCommTable5.R1C0              -16.073               0.000    0.000
AS JCommTable6.R0C0                0.549               0.634    0.064
AS JCommTable6.R1C0                0.480               0.618    0.028
AS JCommTable8.R0C0             -165.580               0.000    0.000
AS done                           -0.160               0.460    1.137
M  JCommTable4.R0C0              -39.955               0.000    0.000
M  JCommTable4.R1C0              -44.008               0.000    0.000
M  JCommTable5.R0C0              -29.888               0.000    0.000
M  JCommTable5.R1C0              -16.794               0.000    0.000
M  JCommTable6.R0C0               -0.823               0.305    0.353
M  JCommTable6.R1C0               -0.021               0.495    0.171
M  JCommTable8.R0C0             -150.604               0.000    0.000
M  done                           -0.362               0.410    0.781

Anon Student Id               Intercept (logit)    Intercept (prob)
--------------------------  -------------------  ------------------
BKT Controller_human(1)                   0.161               0.540
BKT Controller_human(10)                 -0.352               0.413
BKT Controller_human(11)                 -0.023               0.494
BKT Controller_human(12)                  0.544               0.633
BKT Controller_human(13)                 -0.077               0.481
BKT Controller_human(14)                  0.085               0.521
BKT Controller_human(15)                  0.053               0.513
BKT Controller_human(16)                 -0.012               0.497
BKT Controller_human(17)                 -0.452               0.389
BKT Controller_human(18)                 -0.095               0.476
BKT Controller_human(19)                  0.239               0.559
BKT Controller_human(2)                  -0.267               0.434
BKT Controller_human(20)                 -0.471               0.384
BKT Controller_human(21)                  0.237               0.559
BKT Controller_human(22)                 -0.115               0.471
BKT Controller_human(23)                  0.122               0.530
BKT Controller_human(24)                 -0.323               0.420
BKT Controller_human(25)                 -0.549               0.366
BKT Controller_human(26)                 -0.383               0.405
BKT Controller_human(27)                  0.370               0.591
BKT Controller_human(28)                 -0.317               0.421
BKT Controller_human(29)                  0.409               0.601
BKT Controller_human(3)                  -0.293               0.427
BKT Controller_human(30)                 -0.459               0.387
BKT Controller_human(4)                   0.404               0.600
BKT Controller_human(5)                  -0.049               0.488
BKT Controller_human(6)                  -0.349               0.414
BKT Controller_human(7)                  -0.222               0.445
BKT Controller_human(8)                   0.122               0.530
BKT Controller_human(9)                  -0.127               0.468
BKT Controller_random(1)                 -0.656               0.342
BKT Controller_random(10)                -0.381               0.406
BKT Controller_random(11)                -0.117               0.471
BKT Controller_random(12)                -0.166               0.459
BKT Controller_random(13)                -0.650               0.343
BKT Controller_random(14)                -0.310               0.423
BKT Controller_random(15)                -0.126               0.468
BKT Controller_random(16)                -0.179               0.455
